id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
898,"Mori Bawah (Mo'Iki)","Mead, D. (1999)",xmz,mori1268,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.56020000000000000000,121.37000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
237429,1,hand,kai,,,36,
237432,4,leg/foot,kare,,,49,
237541,5,"to walk",melempa,,,,
237489,6,road/path,sala,,,1,
237547,7,"to come",haβe,,,,
237537,9,"to swim",sumoPe,,,,
237433,12,skin,kuli,,,1,
237431,14,belly,kompo,,,,
237436,15,bone,buku,,,,
237438,17,liver,ate,,,1,
237430,18,breast,uo,,,,
237526,20,"to know, be knowledgeable",toʔori,,,,
237437,23,blood,rea,,,1,
237420,24,head,ulu,,,1,
237428,25,neck,veʔu,,,,
237421,26,hair,βuu,,,,
237423,27,nose,eŋe,,,,
237424,30,mouth,ŋaŋa,,,,
237426,31,tooth,ŋisi,,,24,
237425,32,tongue,elo,,,4,
237529,33,"to laugh",motao,,,,
237528,34,"to cry",meŋese,,,,
237540,35,"to vomit",melua,,,,
237539,36,"to spit",meʔeli,,,,
237532,37,"to eat",moŋgaa,,,1,
237533,40,"to drink",moʔinu,,,,
237427,43,ear,biri,,,26,
237530,44,"to hear",moroŋo,,,,
237422,45,eye,mata,,,1,
237531,46,"to see",moŋgito,,,76,
237545,48,"to sleep",moturi,,,1,
237544,49,"to lie down",meledo,,,,
237546,50,"to dream",moipi,,,,
237543,51,"to sit",tumotoro,,,,
237542,52,"to stand",metade,,,,
237439,53,"person/human being",mia,,,,
237440,54,man/male,tuama,,,,
237441,55,woman/female,beine,,,"1,107",
237448,56,child,ana,,,,
237443,57,husband,tama,,,,
237442,57,husband,kombia,,,,
237445,58,wife,beine,,,5,
237444,58,wife,kombia,,,,
237447,59,mother,ine,,,,
237446,60,father,uma,,,,
237548,63,name,ŋee,,,,
237527,64,"to say",mopau,,,56,
237488,65,rope,ula,,,,
237487,65,rope,koloro,,,,
237536,75,"to die, be dead",mate,,,,
237466,79,stick/wood,kau,,,,
237535,93,"to pound, beat",moʔisa,,,,
237463,96,dog,dahu,,,,
237456,97,bird,manomano,,,,
237457,98,egg,sului,,,,
237538,101,"to fly",lumaa,,,,
237462,102,rat,tehu,,,,
237434,103,meat/flesh,ihi,,,,
237435,104,fat/grease,nunte,,,,
237455,105,tail,okui,,,,
237460,106,snake,ule,,,,
237458,108,louse,kusu,,,,
237459,109,mosquito,nini,,,,
237461,111,fish,bou,,,,
237464,114,leaf,leve,,,,
237465,115,root,haka,,,,
237469,116,flower,sisi,,,,
237468,116,flower,buŋa,,,,
237467,117,fruit,βua,,,,
237479,119,earth/soil,βita,,,,
237486,120,stone,βasu,,,,
237478,121,sand,one,,,,
237481,122,water,uβoi,,,,
237477,124,sea,tahi,,,,
237480,125,salt,hia,,,,
237482,127,woods/forest,tobu,,,,
237472,128,sky,laŋi,,,,
237470,129,moon,βule,,,1,
237471,130,star,anaβula,,,,
237473,131,cloud,seru,,,,
237474,133,rain,use,,,,
237476,136,wind,aŋi,,,,
237475,136,wind,pue,,,,
237500,138,warm,moβolo,"(luke)warm (water)",,,
237498,138,warm,mokule,"hot (water)",,,
237499,139,cold,morini,,,,
237493,140,dry,mokari,,,,
237483,143,fire,api,,,,
237534,144,"to burn",sumoŋko,,,,
237484,145,smoke,ahu,,,,
237485,146,ash,aβu,,,,
237505,147,black,moito,,,,
237504,148,white,mopute,,,,
237507,149,red,motaha,,,,
237506,150,yellow,moŋkuni,,,,
237508,151,green,moloβulu,,,,
237491,152,small,ontidi,,,,
237490,153,big,laŋkai,,,,
237501,154,short,oβoa,,,,
237502,155,long,ondau,,,,
237497,162,old,motaʔu,,,,
237496,163,new,βoʔu,,,,
237492,164,good,moʔiko,,,,
237525,167,night,malo,,,,
237524,175,above,wawo,,,,
237523,176,below,toto,under,,,
237510,177,this,ndia,,,,
237495,179,near,umpeda,,,,
237494,180,far,olai,,,,
237551,181,where?,isua,,,,
237449,182,I,oŋkude,,,,
237450,183,thou,omude,"you (fam.)",,,
237451,184,he/she,onae,,,,
237453,185,we,ontade,"we (incl.)",,,
237452,185,we,omami,"we (excl.)",,,
237454,187,they,ondaʔe,,,,
237549,188,what?,hapa,,,,
237550,189,who?,sema,,,,
237503,191,all,loβo,,,,
237552,194,how?,kanaʔumpe,,,,
237509,195,"no, not",uuhu,,,,
237511,197,One,aso,,,,
237512,198,Two,oruo,,,,
237513,199,Three,tolu,,,,
237514,200,Four,oomba,,,,
237515,201,Five,limo,,,,
237516,202,Six,ono,,,,
237517,203,Seven,pitu,,,,
237518,204,Eight,oalu,,,,
237519,205,Nine,osio,,,,
237520,206,Ten,hopulo,,,,
237521,209,"One Hundred",asoʔetu,,,,
237522,210,"One Thousand",asansoβu,,,,
