id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
899,"Mori Bawah (Petasia)","Mead, D. (1999)",xmz,mori1268,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-2.56020000000000000000,121.37000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
237562,1,hand,kai,,,36,
237565,4,leg/foot,kare,,,49,
237672,5,"to walk",melempa,,,,
237619,6,road/path,sala,,,1,
237678,7,"to come",haβe,,,,
237668,9,"to swim",sumoPe,,,,
237566,12,skin,kuli,,,1,
237564,14,belly,kompo,,,,
237569,15,bone,buku,,,,
237571,17,liver,ate,,,1,
237563,18,breast,uo,,,,
237657,20,"to know, be knowledgeable",toʔori,,,,
237570,23,blood,rea,,,1,
237553,24,head,ulu,,,1,
237561,25,neck,veʔu,,,,
237554,26,hair,βuu,,,,
237556,27,nose,eŋe,,,,
237557,30,mouth,ŋaŋa,,,,
237559,31,tooth,ŋisi,,,24,
237558,32,tongue,elo,,,4,
237660,33,"to laugh",meŋiŋisi,,,,
237659,34,"to cry",meŋese,,,,
237671,35,"to vomit",melua,,,,
237670,36,"to spit",meʔonui,,,,
237663,37,"to eat",moŋgaa,,,1,
237664,40,"to drink",moʔinu,,,,
237560,43,ear,biri,,,26,
237661,44,"to hear",moroŋo,,,,
237555,45,eye,mata,,,1,
237662,46,"to see",moŋgito,,,76,
237676,48,"to sleep",moturi,,,1,
237675,49,"to lie down",meledo,,,,
237677,50,"to dream",moipi,,,,
237674,51,"to sit",tumotoro,,,,
237673,52,"to stand",metade,,,,
237572,53,"person/human being",mia,,,,
237573,54,man/male,tuama,,,,
237574,55,woman/female,beine,,,"1,107",
237580,56,child,ana,,,,
237575,57,husband,kombia,,,,
237577,58,wife,beine,,,5,
237576,58,wife,kombia,,,,
237579,59,mother,ine,,,,
237578,60,father,uma,,,,
237679,63,name,ŋee,,,,
237658,64,"to say",mopau,,,56,
237618,65,rope,koloro,,,,
237667,75,"to die, be dead",mate,,,,
237598,79,stick/wood,kau,,,,
237666,93,"to pound, beat",moʔisa,,,,
237595,96,dog,dahu,,,,
237588,97,bird,manomano,,,,
237589,98,egg,sului,,,,
237669,101,"to fly",menee,,,,
237594,102,rat,tehu,,,,
237567,103,meat/flesh,bau,,,,
237568,104,fat/grease,nunte,,,,
237587,105,tail,okui,,,,
237592,106,snake,ule,,,,
237590,108,louse,kusu,,,,
237591,109,mosquito,siporo,,,,
237593,111,fish,bou,,,,
237596,114,leaf,leve,,,,
237597,115,root,haka,,,,
237600,116,flower,buŋa,,,,
237599,117,fruit,βua,,,,
237609,119,earth/soil,βita,,,,
237617,120,stone,βasu,,,,
237608,121,sand,one,,,,
237611,122,water,uβoi,,,,
237607,124,sea,tahi,,,,
237610,125,salt,hia,,,,
237613,127,woods/forest,tobu,,,,
237612,127,woods/forest,βana,,,,
237603,128,sky,laŋi,,,,
237601,129,moon,βule,,,1,
237602,130,star,anaβula,,,,
237604,131,cloud,seru,,,,
237605,133,rain,use,,,,
237606,136,wind,aŋi,,,,
237631,138,warm,moβolo,"(luke)warm (water)",,,
237629,138,warm,mokule,"hot (water)",,,
237630,139,cold,morini,,,,
237623,140,dry,mosui,,,,
237614,143,fire,api,,,,
237665,144,"to burn",monsoru,,,,
237615,145,smoke,ahu,,,,
237616,146,ash,aβu,,,,
237636,147,black,moito,,,,
237635,148,white,mopute,,,,
237638,149,red,motaha,,,,
237637,150,yellow,moŋkuni,,,,
237639,151,green,moloβulu,,,,
237621,152,small,kodei,,,,
237620,153,big,laŋkai,,,,
237632,154,short,oβoa,,,,
237633,155,long,ondau,,,,
237628,162,old,motaʔu,,,,
237627,163,new,βoʔu,,,,
237622,164,good,moʔiko,,,,
237656,167,night,βiŋi,,,,
237655,175,above,wawo,,,,
237654,176,below,toto,under,,,
237641,177,this,ndia,,,,
237626,179,near,umpeda,,,,
237625,179,near,meraŋku,,,,
237624,180,far,olai,,,,
237682,181,where?,isua,,,,
237581,182,I,oŋkude,,,,
237582,183,thou,omue,"you (fam.)",,,
237583,184,he/she,onae,,,,
237585,185,we,ontade,"we (incl.)",,,
237584,185,we,omami,"we (excl.)",,,
237586,187,they,ondaʔe,,,,
237680,188,what?,hapa,,,,
237681,189,who?,sema,,,,
237634,191,all,loβo,,,,
237683,194,how?,kanaʔumpe,,,,
237640,195,"no, not",naahi,,,,
237642,197,One,aso,,,,
237643,198,Two,oruo,,,,
237644,199,Three,tolu,,,,
237645,200,Four,oomba,,,,
237646,201,Five,limo,,,,
237647,202,Six,ono,,,,
237648,203,Seven,pitu,,,,
237649,204,Eight,oalu,,,,
237650,205,Nine,osio,,,,
237651,206,Ten,hopulo,,,,
237652,209,"One Hundred",asoʔetu,,,,
237653,210,"One Thousand",asansoβu,,,,
