id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
905,"Moronene (Mornene)","Mead, D. (1999)",mqn,moro1287,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.č = voiceless palatal stop/affricateβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, Southwest","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-4.62360000000000000000,121.82400000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
238481,1,hand,lima,,,"1,64",
238484,4,leg/foot,karu,,,49,
238599,5,"to walk",lolako,,,,
238542,6,road/path,sala,,,1,
238605,7,"to come",leu,,,,
238594,9,"to swim",nonaŋi,,,1,
238485,12,skin,kuli,,,1,
238483,14,belly,tia,,,,
238488,15,bone,βuku,,,,
238491,17,liver,ihilaro,,,,
238490,17,liver,ate,,,1,
238482,18,breast,susu,,,,
238581,20,"to know, be knowledgeable",toʔorio,,,,
238489,23,blood,rea,,,1,
238472,24,head,rapa,,,,
238480,25,neck,βeʔu,,,,
238473,26,hair,βuu,,,,
238475,27,nose,eŋe,,,,
238476,30,mouth,ŋaŋa,,,,
238478,31,tooth,ŋisi,,,24,
238477,32,tongue,elo,,,4,
238584,33,"to laugh",mekasio,,,,
238583,34,"to cry",meβoβo,,,,
238598,35,"to vomit",memelu,,,,
238597,36,"to spit",meʔilii,,,,
238587,37,"to eat",moŋkaa,,,1,
238588,40,"to drink",mondoʔu,,,,
238589,41,"to bite",mekea,,,,
238479,43,ear,biri,,,26,
238585,44,"to hear",mompodedea,,,,
238474,45,eye,mata,,,1,
238586,46,"to see",moʔonto,,,78,
238603,48,"to sleep",moturi,,,1,
238602,49,"to lie down",leleha,,,,
238604,50,"to dream",moʔipi,,,,
238601,51,"to sit",totoro,,,,
238600,52,"to stand",mentade,,,,
238492,53,"person/human being",miano,,,,
238493,54,man/male,tama,,,,
238494,55,woman/female,tina,,,20,
238501,56,child,ana,,,,
238496,57,husband,samotuʔa,,,,
238495,57,husband,sampora,,,,
238498,58,wife,samotuʔa,,,,
238497,58,wife,sampora,,,,
238500,59,mother,ina,,,,
238499,60,father,ama,,,,
238606,63,name,nee,,,,
238582,64,"to say",mogau,,,,
238541,65,rope,ula,,,,
238596,74,"to kill",mompopate,,,,
238593,75,"to die, be dead",mate,,,,
238521,79,stick/wood,keu,,,,
238592,93,"to pound, beat",moʔisa,,,,
238590,95,"to fall",tuuna,,,,
238518,96,dog,dahu,,,,
238510,97,bird,manumanu,,,,
238511,98,egg,bio,,,,
238512,99,feather,βulu,,,,
238595,101,"to fly",lumaa,,,,
238517,102,rat,βola,,,,
238486,103,meat/flesh,ihi,,,,
238487,104,fat/grease,taba,,,,
238509,105,tail,"iki ~ iči",,,,
238515,106,snake,ule,,,,
238513,108,louse,kutu,,,,
238514,109,mosquito,βontu,,,,
238516,111,fish,iča,,,,
238519,114,leaf,riri,,,,
238520,115,root,haka,,,,
238523,116,flower,buŋa,,,,
238522,117,fruit,βua,,,,
238532,119,earth/soil,βita,,,,
238540,120,stone,βatu,,,,
238531,121,sand,hahi,,,,
238534,122,water,eʔe,,,,
238530,124,sea,tahi,,,,
238533,125,salt,tahi,,,,
238536,126,lake,peo,,,,
238535,127,woods/forest,boloŋkura,,,,
238526,128,sky,laŋi,,,,
238524,129,moon,βotiti,,,,
238525,130,star,olimpopo,,,,
238527,131,cloud,seru,,,,
238528,133,rain,usa,,,,
238529,136,wind,ŋalu,,,,
238553,138,warm,moβoloβoloʔoleo,"(luke)warm (water)",,,
238551,138,warm,mokula,"hot (water)",,,
238552,139,cold,momapu,,,,
238546,140,dry,motuʔi,,,,
238537,143,fire,api,,,,
238591,144,"to burn",montunu,,,,
238538,145,smoke,ahu,,,,
238539,146,ash,aβu,,,,
238558,147,black,molori,,,,
238557,148,white,mopila,,,,
238560,149,red,motaha,,,,
238559,150,yellow,mokuni,,,,
238561,151,green,moʔuso,,,,
238544,152,small,okidi,,,,
238543,153,big,oβose,,,,
238554,154,short,oŋkunda,,,,
238555,155,long,mentaa,,,,
238550,162,old,motua,,,,
238549,163,new,tonia,,,,
238545,164,good,moičo,,,,
238580,167,night,malo,,,,
238579,175,above,"hai βaβo",,,,
238578,176,below,"hai tonto",under,,,
238563,177,this,die,,,,
238564,178,that,peʔičo,,,,
238548,179,near,okuda,,,,
238547,180,far,mentala,,,,
238609,181,where?,haihapa,,,,
238502,182,I,iʔaku,,,,
238503,183,thou,ičoʔo,"you (fam.)",,,
238504,184,he/she,iaa,,,,
238507,185,we,ičita,"we (incl.)",,,
238506,185,we,ičami,"plural, we (excl.)",,,
238505,185,we,čami,"dual, we (excl.)",,,
238508,187,they,ira,,,,
238607,188,what?,hapa,,,,
238608,189,who?,inai,,,,
238556,191,all,luβu,,,,
238610,194,how?,kanaʔumpe,,,,
238562,195,"no, not",naidaʔa,,,,
238565,197,One,meʔasa,,,,
238566,198,Two,orua,,,,
238567,199,Three,otolu,,,,
238568,200,Four,opaa,,,,
238569,201,Five,olima,,,,
238570,202,Six,onoo,,,,
238571,203,Seven,opitu,,,,
238572,204,Eight,hoalu,,,,
238573,205,Nine,osio,,,,
238574,206,Ten,hopulu,,,,
238575,207,Twenty,ruapulu,,,,
238576,209,"One Hundred",asaʔetu,,,,
238577,210,"One Thousand",asareβu,,,,
