id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
918,"Wawonii (Menui)","Mead, D. (1999)",wow,wawo1239,"Mead, David. 1999. The Bungku–Tolaki languages of south-eastern Sulawesi, Indonesia. Canberra: Pacific Linguistics D-91.ɸ =voiceless bilabial fricativeβ = voiced bilabial fricative",,"Austronesian, Malayo-Polynesian, Celebic, Eastern, Southeastern, Bungku-Tolaki, Eastern, East Coast","Mark Donohue",,"@book{161612,  address    = {Canberra},  pages      = {xi+188},  publisher  = {Research School of Pacific and Asian Studies, Australian National University},  series     = {Pacific Linguistics: Series D},  title      = {The Bungku-Tolaki Languages of South-Eastern Sulawesi, Indonesia},  volume     = {91},  year       = {1999},  asjp_name  = {Waru, Lalomerui, Tomadino, Bungku, Routa, Taloki, Mori Atas, Padoe, Bungku, Torete, Wawoni, Menui, Tolaki, Laiwui, Bungku, Moronene, Tolaki, Konawe, Bahonsuai, Rahambuu, Tolaki, Wiwirano, Bungku, Landawe, Bungku, Waia, Wawoni, Mori Bawah, Watu, Waru, Tolaki, Asera, Koroni, Moronene, Tokotu'a, Bungku, Tulambatu, Kulisusu, Tolaki, Mekongga, Kodeoha},  bibtexkey  = {mead_bungku-tolaki1999},  country    = {Indonesia [ID]},  fn         = {papua\mead_bungku-tolaki1999.pdf},  hhtype     = {overview;comparative;wordlist;bibliographical},  inlg       = {English [eng]},  inlg_code  = {eng},  macro_area = {Papua},  sil_id     = {42643},  src        = {asjp2010, hh, sil16},  srctrickle = {asjp2010#1091, asjp2010#1305, asjp2010#1412, asjp2010#1497, asjp2010#1568, asjp2010#1639, asjp2010#1799, asjp2010#1906, asjp2010#1943, asjp2010#2035, asjp2010#2089, asjp2010#2123, asjp2010#2380, asjp2010#2522, asjp2010#3091, asjp2010#4177, asjp2010#4288, asjp2010#4349, asjp2010#4451, asjp2010#4699, asjp2010#48, asjp2010#4976, asjp2010#564, asjp2010#663, asjp2010#706, asjp2010#809, asjp2010#966, hh#hvwb:Mead:Bungku-Tolaki, sil16#42643},  subject    = {Language surveys [LSV]},  author     = {Mead, David E.}}"
latitude,longitude
-4.13590000000000000000,123.10000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
240844,1,hand,lima,,,"1,64",
240847,4,leg/foot,karu,,,49,
240961,5,"to walk",moliŋka,,,,
240901,6,road/path,salaha,,,1,
240967,7,"to come",leu,,,,
240956,9,"to swim",numaŋi,,,1,
240848,12,skin,kuli,,,1,
240846,14,belly,tia,,,,
240851,15,bone,ɸuku,,,,
240853,17,liver,ate,,,1,
240845,18,breast,susu,,,,
240942,20,"to know, be knowledgeable",toʔorio,,,,
240852,23,blood,rea,,,1,
240835,24,head,ulu,,,1,
240843,25,neck,ɸeʔu,,,,
240836,26,hair,ɸuu,,,,
240838,27,nose,eŋe,,,,
240839,30,mouth,ŋaŋa,,,,
240841,31,tooth,ŋisi,,,24,
240840,32,tongue,elo,,,4,
240945,33,"to laugh",mototaa,,,,
240944,34,"to cry",umere,,,,
240960,35,"to vomit",memelu,,,,
240959,36,"to spit",meʔoniu,,,,
240948,37,"to eat",moŋkaa,,,1,
240949,40,"to drink",mondoʔu,,,,
240950,41,"to bite",moŋkiki,,,,
240842,43,ear,biri,,,26,
240946,44,"to hear",mompodea,,,,
240837,45,eye,mata,,,1,
240947,46,"to see",moʔonto,,,78,
240965,48,"to sleep",moturi,,,1,
240964,49,"to lie down",koledoledo,,,,
240966,50,"to dream",moʔipi,,,,
240963,51,"to sit",tumotoro,,,,
240962,52,"to stand",mentade,,,,
240854,53,"person/human being",mia,,,,
240855,54,man/male,tama,,,,
240856,55,woman/female,tina,,,20,
240861,56,child,ana,,,,
240857,57,husband,ɸali,,,,
240858,58,wife,ɸali,,,,
240860,59,mother,nina,,,,
240859,60,father,tama,,,,
240968,63,name,ŋee,,,,
240943,64,"to say",motae,,,,
240900,65,rope,ula,,,,
240958,74,"to kill",mompopate,,,,
240955,75,"to die, be dead",mate,,,,
240880,79,stick/wood,keu,,,,
240954,93,"to pound, beat",morodoki,,,,
240951,95,"to fall",tuuna,,,,
240877,96,dog,dahu,,,,
240869,97,bird,manumanu,,,,
240870,98,egg,bio,,,,
240871,99,feather,ɸulu,,,,
240957,101,"to fly",dumapa,,,,
240876,102,rat,ɸola,,,,
240849,103,meat/flesh,ihi,,,,
240850,104,fat/grease,taba,,,,
240868,105,tail,iki,,,,
240874,106,snake,ule,,,,
240872,108,louse,kutu,,,,
240873,109,mosquito,ɸontu,,,,
240875,111,fish,ika,,,,
240878,114,leaf,leɸe,,,,
240879,115,root,haka,,,,
240882,116,flower,buŋa,,,,
240881,117,fruit,ɸua,,,,
240891,119,earth/soil,ɸita,,,,
240899,120,stone,ɸatu,,,,
240890,121,sand,buraŋa,,,,
240893,122,water,baho,,,,
240889,124,sea,tahi,,,,
240892,125,salt,gara,,,,
240895,126,lake,rano,,,,
240894,127,woods/forest,laroŋkeu,,,,
240885,128,sky,laŋi,,,,
240883,129,moon,ɸula,,,1,
240884,130,star,bituʔo,,,,
240886,131,cloud,kundo,,,,
240887,133,rain,usa,,,,
240888,136,wind,pue,,,,
240913,138,warm,mopane,"(luke)warm (water)",,,
240911,138,warm,mokula,"hot (water)",,,
240912,139,cold,momapu,,,,
240905,140,dry,motuʔi,,,,
240896,143,fire,api,,,,
240953,144,"to burn",mosoŋko,,,,
240952,144,"to burn",montunu,,,,
240897,145,smoke,ahu,,,,
240898,146,ash,aɸu,,,,
240919,147,black,mohalo,,,,
240918,148,white,mobula,,,,
240921,149,red,memea,,,,
240920,150,yellow,mokuni,,,,
240922,151,green,moʔuso,,,,
240903,152,small,okidi,,,,
240902,153,big,oɸose,,,,
240915,154,short,obuntu,,,,
240914,154,short,ompudu,,,,
240916,155,long,orota,,,,
240910,162,old,motuʔa,,,,
240909,163,new,baru,,,,
240908,163,new,sarai,,,,
240904,164,good,moiko,,,,
240941,167,night,malo,,,,
240940,175,above,"i ɸaɸo",,,,
240939,176,below,"i pada",under,,,
240924,177,this,ai,,,,
240925,178,that,asoʔu,,,,
240907,179,near,osanda,,,,
240906,180,far,olai,,,,
240971,181,where?,imaina,,,,
240862,182,I,"uŋkude ~ iŋkude",,,,
240863,183,thou,ikoʔo,"you (fam.)",,,
240864,184,he/she,onade,,,,
240866,185,we,intade,"we (incl.)",,,
240865,185,we,ikami,"we (excl.)",,,
240867,187,they,indade,,,,
240969,188,what?,hapao,,,,
240970,189,who?,naio,,,,
240917,191,all,teteho,,,,
240972,194,how?,kanampe,,,,
240923,195,"no, not",nahina,,,,
240926,197,One,asa,,,,
240927,198,Two,orua,,,,
240928,199,Three,otolu,,,,
240929,200,Four,opaa,,,,
240930,201,Five,olima,,,,
240931,202,Six,onoo,,,,
240932,203,Seven,opitu,,,,
240933,204,Eight,hoalu,,,,
240934,205,Nine,osio,,,,
240935,206,Ten,hopulu,,,,
240936,207,Twenty,ruapulu,,,,
240937,209,"One Hundred",asaʔetu,,,,
240938,210,"One Thousand",asamadala,,,,
