id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
938,"Gelao (Moji)","Guangxi Minority Languages Orthography Committee. 2008.",giw,whit1267,"Guangxi Minority Languages Orthography Committee. 2008. Vocabularies of Guangxi ethnic languages [广西民族语言方音词汇]. Beijing: Nationalities Publishing House [民族出版社].The selected variant is that of Xiachong 下冲屯, Meji/Moji village 么基村, De'e township 德峨乡, Guangxi. Although there are 500 ethnic Duoluo Gelao residing in Longlin County, only fewer than 10 speakers of Duoluo Gelao remain, since most ethnic Duoluo Gelao have shifted to Southwestern Mandarin.The informants are Guo Xiuyu 郭秀玉, 73, Guo Meli 郭么利, 83, and Guo Lanying 郭兰英, 42. They are multilingual in Southwestern Mandarin, Zhuang, and Miao.",,"Tai-Kadai, Kra, Western Kra","Andrew C. Hsiu","Simon Greenhill","@book{Guangxi2008,  date          = {2008},  title_english = {Vocabularies of Guangxi ethnic languages},  title         = {广西民族语言方音词汇},  publisher     = {Nationalities Publishing House [民族出版社},  address       = {Beijing},  author        = {Committee, Guangxi Minority Languages Orthography}}"
latitude,longitude
23.01960000000000000000,105.07000000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
243890,1,hand,"pa24 mi31",,,1,
243891,2,left,tso53,,,,
243892,3,right,ʑəu24,,,46,
243893,4,leg/foot,"pa24 ko24","leg, foot",,42,
243894,5,"to walk",pi31,,,,
243895,6,road/path,"ka31 lan31",,,,
243896,7,"to come",do31,,,,
243897,8,"to turn","lə53 ve53",,,,
243898,9,"to swim","kau53 oŋ53",,,,
243899,10,dirty,"ka31 le24",,,,
243900,11,dust,"pe24 pa31 tau24",,,,
243901,12,skin,"po31 qu24",,,,
243902,13,back,"ta53 kaŋ53",,,,
243903,14,belly,"pa31 ɬaŋ31",,,,
243904,15,bone,"ka31 de24",,,,
243905,16,intestines,"ka53 se53",,,,
243906,17,liver,te24,,,,
243907,18,breast,"pa31 pa24",,,,
243908,19,shoulder,"kʉ53 bja31",,,,
243909,20,"to know, be knowledgeable",səu31,,,,
243910,21,"to think",dəu31,,,,
243911,22,"to fear","bə31 lau31",,,,
243912,23,blood,pla24,,,,
243913,24,head,"ta31 əi24",,,,
243914,25,neck,"ʑin53 həu31",,,,
243915,26,hair,"ka31 suŋ31",,,,
243916,27,nose,"te31 ŋe24",,,,
243917,28,"to breathe",va31,,,,
243918,29,"to sniff, smell",mu24,,,,
243919,30,mouth,"pə31 tso24",,,,
243920,31,tooth,qu53,,,,
243921,32,tongue,mau31,,,,
243922,33,"to laugh","ka31 ʂəu31",,,,
243923,34,"to cry",li24,,,,
243924,35,"to vomit","ka31 ta24",,,,
243925,36,"to spit","ka31 thu24",,,,
243926,37,"to eat",ka31,,,,
243927,38,"to chew","la31 kai24",,,,
243928,39,"to cook",toŋ24,,,,
243929,40,"to drink",ʐan53,,,,
243930,41,"to bite",tʂaŋ53,,,,
243931,42,"to suck","dʐɿ24 (həi31)",,,,
243932,43,ear,"pa24 vi31",,,,
243933,44,"to hear","nɨ55 huŋ31",,,,
243934,45,eye,"pa31 tau31",,,,
243935,46,"to see",qa31,,,,
243936,47,"to yawn","ta53 ha53 tɕhin24",,,,
243937,47,"to yawn","ta53 ho53 hai24",,,,
