id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
94,Misima,"Malcolm Ross",mpx,misi1243,,,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Papuan Tip, Peripheral, Kilivila-Louisiades, Misima","Peng Du","Simon Greenhill","@misc{Ross-94-2005,  author = \"Malcolm Ross\",  date = \"2005\",  howpublished = \"personal communication\"}"
latitude,longitude
-10.68215000000000003411,152.69631000000001108674
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
94,1,hand,nima|na,,,1,1
451,2,left,gegeba|na,,,20,
808,3,right,awo|na,,,"1,62",
1165,4,leg/foot,ae|na,,,1,1
1522,5,"to walk",i|nawa,,,1,
1879,6,road/path,kamwasa,,,29,
2236,7,"to come",i|nenem,,,"22,1",
2950,9,"to swim",i|highig,,,95,
3307,10,dirty,biki,,,139,
3664,11,dust,papakoa,,,18,
4021,12,skin,kunisi|na,,,1,1
4378,13,back,eputete|na,,,,
4735,14,belly,tine|na,,,"19, 34",
5092,15,bone,tutua|na,,,"1,10",
5449,16,intestines,tine|na,,,1,1
5806,17,liver,ate,,,1,1
6163,18,breast,huli|na,,,1,
6520,19,shoulder,vevela|na,,,1,?
6877,20,"to know, be knowledgeable",i|ate|na,,,35,
7591,22,"to fear",i|lovakun,,,84,
7948,23,blood,salia|na,,,64,
8305,24,head,kokoa|na,,,50,
8662,25,neck,mwamwali|na,,,,
9019,26,hair,kaunu|na,,,,
9376,27,nose,buhu|na,,,"1,17",
9733,28,"to breathe",i|ana,,,95,
10090,29,"to sniff, smell",i|hago,,,111,
10447,30,mouth,awa|na,,,36,
10804,31,tooth,nini|na,,,30,
11161,32,tongue,meme|na,,,7,
11518,33,"to laugh",i|nival,,,105,
11875,34,"to cry",i|kahikahin,,,16,
12232,35,"to vomit",i|mamanovi,,,39,
12589,36,"to spit",kuluvi,(N),,19,
12946,37,"to eat",i|anan,,,1,1?
13303,38,"to chew",i|ol,,,,
13660,39,"to cook",i|liga,,,28,
14017,40,"to drink",i|min,,,"1,49",?
14374,41,"to bite",i|tal,,,81,
14731,42,"to suck",i|mim,,,77,
15088,43,ear,tana|na,,,1,1?
15445,44,"to hear",i|hago,,,,
15802,45,eye,mata|na,,,1,1
16159,46,"to see",i|gagayawa,,,,
16516,47,"to yawn",i|mwau,,,19,1?
16873,48,"to sleep",i|kenukenu,,,8,
17587,50,"to dream",i|kenonou,,,"1,72",
17944,51,"to sit",i|misio,,,"26, 126",
18301,52,"to stand",i|talmil,,,"1, 41",
18658,53,"person/human being",gamagal,,,42,
19015,54,man/male,tau,,,22,
19372,55,woman/female,yova,,,121,
19729,56,child,natu|na,,,5,
20086,57,husband,lago|na,,,2,
20443,58,wife,lago|na,,,,
20800,59,mother,hina|na,,,1,1
21157,60,father,tama|na,,,1,1
21514,61,house,limi,,,1,
22228,63,name,ala|na,,,"1,18",?
22585,64,"to say",i|baba,,,13,
22942,65,rope,hihiu,,,90,
23299,66,"to tie up, fasten",i|am,,,144,
23656,67,"to sew",i|helhel,,,"2,53",
24370,69,"to hunt",i|auka,,,,
24727,70,"to shoot",i|hoa,,,7,
25084,71,"to stab, pierce",i|gove,,,,
25441,72,"to hit",i|lol,,,,
25798,73,"to steal",i|kaoma,,,,
26155,74,"to kill",i|lol,,,,
26512,75,"to die, be dead",i|aliga,,,46,
26869,76,"to live, be alive",i|molu,,,1?,?
27226,77,"to scratch",i|kolkol,,,12,
27583,78,"to cut, hack",i|gela,,,,
27940,79,stick/wood,suki,,,,
28297,80,"to split",i|taga|leli,,,,
28654,81,sharp,imu,,,,
29368,83,"to work",i|tualali,,,,
29725,84,"to plant",i|luan,,,,
30439,86,"to grow",i|siun,,,,
30796,87,"to swell",i|lolon,,,58,
31153,88,"to squeeze",i|pi,,,21,?
31510,89,"to hold",i|pihikan,,,,
31867,90,"to dig",i|gial,,,65,
32581,92,"to open, uncover",i|pwela,,,,
33295,94,"to throw",i|alihin,,,,
33652,95,"to fall",i|sogu,,,,
34009,96,dog,wanuka,,,,
34366,97,bird,bwasumu,,,79,
34723,98,egg,pou,,,15,
35080,99,feather,punupunu,,,1,1
35437,100,wing,ope|na,,,30,
35794,101,"to fly",i|veva,,,,
36151,102,rat,sikokoi,,,,
36508,103,meat/flesh,bunumwi|na,,,34,
36865,104,fat/grease,momone|na,,,"1,65",1
37222,105,tail,uli|na,,,82,
77386,106,snake,mwata,,,12,
77387,106,snake,weso,,,53,
