id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
951,Proto-Lolo-Burmese,"James Matisoff",,lolo1265,"Matisoff, James. 2003. Handbook of Proto-Tibeto-Burman: System and Philosophy of Sino-Tibetan Reconstruction. Berkeley: University of California Press.",,"Sino-Tibetan, Tibeto-Burman, Lolo-Burmese","Andrew C. Hsiu",,"@book{471419,  address    = {Berkeley and Los Angeles},  publisher  = {University of California press},  series     = {University of California Publications in Linguistics},  title      = {Handbook of Proto-Tibeto-Burman},  volume     = {135},  year       = {2003},  bibtexkey  = {matisoff_tibeto-burman2003},  hhtype     = {comparative},  inlg       = {English [eng]},  src        = {gj},  srctrickle = {gj#matisoff03},  author     = {Matisoff, James A.}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
246784,1,hand,"g-lak L","hand / arm",,,
246951,12,skin,"*ʔ-guk L",,,,
246952,12,skin,"*m-k-rəy 1",,,,
246953,13,back,"*ka 2","back, loins",,,
246954,13,back,"*ʔ-nuk L",,,,
246955,14,belly,"*ʔ-wik L",stomach,,,
246956,14,belly,"*p-wan 2",belly,,,
246788,15,bone,"*rəw 2",,,,
246789,16,intestines,"*wu 1",,,,
246957,17,liver,"*sin 1","liver, bitter",,,
246958,17,liver,"*tsin 1","liver, bitter",,,
246959,20,"to know, be knowledgeable","*šey 2",,,,
246960,20,"to know, be knowledgeable","*šey 3",,,,
246961,21,"to think","*m-daŋ 1","think, feel an emotion",,,
246962,21,"to think","*m-daŋ 2","think, feel an emotion",,,
246963,21,"to think","*m-ga 2","want, think, love",,,
246793,24,head,"*ʔu 2",,,,
246794,25,neck,"*m-liŋ 1",,,,
246795,28,"to breathe","*C-sak L","breath(e) / life",,,
246964,29,"to sniff, smell","*nam 1",,,,
246965,29,"to sniff, smell","*nam 2",,,,
246966,29,"to sniff, smell","*nam 3",,,,
246797,31,tooth,"*džway 1",,,,
246798,33,"to laugh","*ray 1",,,,
246799,34,"to cry","*ŋəw 1",,,,
246800,35,"to vomit","*C-pat L",,,,
246801,37,"to eat","dža 2",,,,
246967,38,"to chew","*m-gʷya 2",,,,
246968,38,"to chew","*ya 1","chew betel or cud",,,
246969,40,"to drink","*m-daŋ 1",,,,
246970,40,"to drink","*m-doŋ 1",,,,
246947,42,"to suck","*tšuk L",,,,
246948,42,"to suck","*C-tšup L",,,,
246945,43,ear,"*ʔ-na 2",,,,
246946,43,ear,"*na 2","ear, listen",,,
246806,44,"to hear","*gla 2",,,,
246807,45,eye,"*s-myak H",,,,
246808,46,"to see","*mraŋ 1",,,,
246971,48,"to sleep","*yip L",,,,
246972,48,"to sleep","*yup L",,,,
246810,50,"to dream","*s-mak H",,,,
246811,52,"to stand","*ʔ-rap L",,,,
246812,53,"person/human being","*tsaŋ 1",,,,
246973,55,woman/female,"*mi 2",female,,,
246974,55,woman/female,"*mi 3",girl,,,
246814,56,child,"*za 2",,,,
246815,61,house,"*yim 1",,,,
246975,63,name,"*ʔ-miŋ 1",,,,
246976,63,name,"*ʔ-miŋ 3",,,,
246977,65,rope,"*ʔ-kyak H",,,,
246978,65,rope,"*kriŋ 1","thread, string",,,
246818,67,"to sew","*rak L",weave,,,
246819,68,needle,"*k-rap H",,,,
246820,73,"to steal","*kəw 2",,,,
246821,75,"to die, be dead","*səy 1",,,,
246979,76,"to live, be alive","*dat L",alive,,,
246980,76,"to live, be alive","*džim 2",raw,,,
246823,79,stick/wood,"*da 1",,,,
246981,80,"to split","*m-dzi:t L",,,,
246982,80,"to split","*m-tsi:t H",,,,
246983,80,"to split","*s-lap H",,,,
246825,81,sharp,"*tak H",,,,
246940,87,"to swell","*C-pwap L","1st word: swell up (v.)",,,
246941,87,"to swell","*m-pwam 2","swollen, pump",,,
246942,87,"to swell","*m-pwam 3","swollen, pump",,,
246984,92,"to open, uncover","*pwaŋ 3",,,,
246985,92,"to open, uncover","*s-wat H","bloom, flower (v.)",,,
246986,92,"to open, uncover","*ʔ-ŋak L",open,,,
246987,96,dog,"*kʷəy 2",,,,
246988,96,dog,"*wan 1","wild dog, wolf, jackal",,,
246829,97,bird,"*k-rak H","bird / chicken",,,
246830,98,egg,"*ʔu 3","egg / sit on eggs",,,
246831,99,feather,"*ʔ-məw 1",,,,
246832,100,wing,"*duŋ 1",,,,
246833,101,"to fly","*byam 1",,,,
246834,102,rat,"*k-r-wak H",,,,
246989,105,tail,"*m-ba 2",,,,
246990,105,tail,"*m-ba 3",,,,
246991,106,snake,"*bəw 2","insect, bug, vermin, snake",,,
246992,106,snake,"*liŋ 2",python,,,
246993,106,snake,"*lik L",python,,,
246994,106,snake,"*m-r-wəy 1",snake,,,
246837,107,"worm (earthworm)","*di 1",,,,
246943,108,louse,"*san 1",,,,
