id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
964,Mo'ang,"Wu Zili",,,"Wu Zili [武自立]. 1993. A preliminary study of the Mo'ang language of Funing County, Yunnan Province [云南富宁未昂话初探]. Minzu Yuwen 2.Mo'ang is spoken in a few villages of Banlun Township (板仑乡), Funing County, Yunnan, China, as well as surrounding areas. The Longyang (龙洋) village variant is given here. Subscript tildes signify tenseness, and apostrophes signify aspiration.There are 5 tones: /55/, /33/, /13/, /51/, /21/",,"Sino-Tibetan, Tibeto-Burman, Lolo-Burmese, Loloish, Mondzish","Andrew C. Hsiu",,"@article{s_Wu_Moang,  title            = {Yunan Funing Mo'ang hua chutan},  journal          = {Minzu Yuwen},  volume           = {1993},  number           = {2},  pages            = {53-63},  year             = {1993},  fn               = {eurasia\wu_moang1993.pdf},  glottolog_ref_id = {114334},  hhtype           = {grammar_sketch},  inlg             = {Chinese-Mandarin [cmn]},  lapollanote      = {Funing},  lgcode           = {Mo'ang TODO = Maang = Mantsi [nty]},  macro_area       = {Eurasia},  author           = {Wu, Zili}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
248238,1,hand,lɑʔ13,,,,
248239,4,leg/foot,k'ɛi51,foot,,,
248240,12,skin,gɛi51,,,,
248241,16,intestines,ɣoʔ13,,,,
248242,20,"to know, be knowledgeable",si33,,,,
248243,22,"to fear",kjɑt55,,,,
248244,23,blood,sɛ̰i33,,,,
248245,30,mouth,mɯen33,,,,
248246,31,tooth,"mɑ21 so33",,,,
248247,35,"to vomit",ʔlḛn33,,,,
248248,37,"to eat",sɑ33,,,,
248249,42,"to suck",ɣɯt55,,,,
248250,45,eye,tju21,,,,
248251,48,"to sleep",ʑiʔ33,,,,
248252,50,"to dream",mɑʔ13,,,,
248253,53,"person/human being",p'ɑ21,,,,
248254,56,child,ʔɑ33,son,,,
248255,59,mother,ʔmɑ33,,,,
248256,72,"to hit",vɑ21,,,,
248257,75,"to die, be dead",ʔŋo33,,,,
248258,78,"to cut, hack",p'ɯɑʔ33,,,,
248259,80,"to split",djeʔ21,,,,
248260,92,"to open, uncover",ʔvik33,"to open (of flowers)",,,
248261,95,"to fall",p'ɑŋ51,,,,
248262,96,dog,q'ui33,,,,
248263,97,bird,ŋɑʔ55,,,,
248264,99,feather,mi55,,,,
248265,106,snake,vui21,,,,
248266,107,"worm (earthworm)",pɑu33,insect,,,
248267,111,fish,ŋɑ33,,,,
248268,117,fruit,sḭ33,,,,
248269,119,earth/soil,mei51,,,,
248270,120,stone,ŋoʔ13,,,,
248271,122,water,ɣɛi51,,,,
248272,125,salt,deʔ21,,,,
248273,128,sky,mɑu33,,,,
248274,130,star,tɕe21,,,,
248275,133,rain,"mɑu33 ɣɛi51","literally 'sky water'",,,
248276,137,"to blow",pɑ̰u33,,,,
248277,138,warm,ȵɑt55,hot,,,
248278,143,fire,mi33,,,,
248279,148,white,tso̰33,,,,
248280,152,small,beiʔ55,,,,
248531,156,thin,mbɯn33,,,,
248532,156,thin,pɑʔ13,,,,
248563,160,"painful, sick",pjɑuʔ21,injured,,,
248564,160,"painful, sick",nɑ51,sick,,,
248283,164,good,lɑu33,,,,
248284,169,year,q'o33,,,,
248285,177,this,ʔɑʔ21,,,,
248529,178,that,ʔuɑʔ21,proximal,,,
248530,178,that,"ʔo33 ʔuɑʔ21",distal,,,
248287,181,where?,ʔɑn33,,,,
248288,182,I,ŋɑ51,,,,
248289,183,thou,nɑ51,,,,
248290,184,he/she,ʑɑ51,,,,
248468,185,we,ŋu51,,,,
248469,185,we,dʑu33,,,,
248292,186,you,nu51,,,,
248293,187,they,ʑu51,,,,
248294,188,what?,"sɑu33 mɑ33",,,,
248295,189,who?,"ʑɑu33 mɑ33",,,,
248296,195,"no, not",mɑ21,,,,
248567,197,One,t'iʔ33,,,,
248568,197,One,tɑ21,,,,
248298,198,Two,niʔ33,,,,
248299,199,Three,sṵŋ33,,,,
248300,200,Four,lei33,,,,
248301,201,Five,ŋɑ33,,,,
248302,202,Six,q'oʔ33,,,,
248303,203,Seven,ɣiʔ33,,,,
248304,204,Eight,ʑeʔ33,,,,
248305,205,Nine,kɑu33,,,,
248306,206,Ten,seʔ55,,,,
248307,209,"One Hundred",ʑɑʔ55,,,,
248308,210,"One Thousand",ɕɯn21,,,,
