id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
967,"Pa Na","Chen Qiguang",,,"Chen Qiguang [陈其光]. 2001. \"A Brief Introduction of Bana Language [巴那语概况]\". Minzu Yuwen.Pa Na (autonym pa53 na313; also Bana or Pana) is a Hmongic language spoken by about 1,000 people in Shangpai 上排, Zhongpai 中排, and Xiapai 下排 of Chengbu County, and Huangsangping Ethnic Miao Township 黄桑坪苗族乡, Suining County in Hunan province, China. Data was collected in December 1983.Chen considers Pa Na to form a branch with She. There are similarities with Bunu as well. Pa Na language is not listed in Ethnologue.There are 8 tones: /13/, /313/, /44/, /31/, /35/, /22/, /55/, /53/.",,"Hmong-Mien, Hmongic","Andrew C. Hsiu",,"@article{s_Chen_Bana,  title            = {Bānàyŭ gàikuàng},  journal          = {Minzu Yuwen},  volume           = {2},  pages            = {69-81},  year             = {2001},  fn               = {eurasia\chen_bana2001.pdf},  glottolog_ref_id = {325903},  hhtype           = {grammar_sketch},  lgcode           = {Bana = Pana = Pa Na = Pa Na [NOCODE_Pa-Na]},  macro_area       = {Eurasia},  title_english    = {A sketch of Bana},  author           = {Chen, Qiguang}}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
249269,1,hand,"la44 kwa31",,,,
249270,4,leg/foot,"la44 tu35",,,,
249271,5,"to walk",pei44,,,,
249272,6,road/path,kja44,,,,
249273,7,"to come",ta313,,,,
249274,13,back,"tɬo35 tɬaŋ13",,,,
249275,14,belly,"la44 tɕho13",,,,
249276,15,bone,"tɬhuŋ44 tɬhuŋ44",,,,
249277,17,liver,ɕi13,,,,
249278,18,breast,"la44 me35",,,,
249279,20,"to know, be knowledgeable",gi31,,,,
249280,23,blood,biŋ44,,,,
249281,24,head,"la44 fo44",,,,
249282,25,neck,"ka13 tɬaŋ13",,,,
249283,26,hair,"fo44 pjo13",,,,
249284,30,mouth,lau35,,,,
249285,31,tooth,muŋ44,,,,
249286,32,tongue,"la44 dli53",,,,
249287,33,"to laugh",kjeu55,,,,
249288,34,"to cry",ȵiŋ44,,,,
249289,35,"to vomit",gau44,,,,
249290,37,"to eat",nuŋ13,,,,
249291,40,"to drink",ho55,,,,
249292,41,"to bite",tau53,,,,
249293,43,ear,"ka13 bja313",,,,
249417,44,"to hear",naŋ44,"to hear",,,
249418,44,"to hear",tuŋ35,"to listen",,,
249295,45,eye,"pi44 ke313",,,,
249437,46,"to see",pu53,"to see",,,
249438,46,"to see",mo53,"to look",,,
249297,48,"to sleep",pu35,,,,
249298,50,"to dream",bo35,,,,
249299,51,"to sit",ȵuŋ13,,,,
249300,52,"to stand",ɕu44,,,,
249301,53,"person/human being",na313,,,,
249302,54,man/male,"ton13 na313",,,,
249303,55,woman/female,"va44 na313",,,,
249304,56,child,ton13,son,,,
249305,57,husband,"tɕon53 fu13",,,,
249306,58,wife,"le13 va44",,,,
249307,59,mother,"ʔa44 ȵa313",,,,
249308,60,father,"ʔa44 ʑa13",,,,
249309,63,name,"la44 bo35",,,,
249310,65,rope,lai35,,,,
249311,66,"to tie up, fasten",din22,,,,
249312,67,"to sew",ʑuŋ313,,,,
249313,68,needle,"mai313 tɕiŋ13",,,,
249314,72,"to hit",nto55,,,,
249315,73,"to steal",ŋ22,,,,
249316,74,"to kill",ta35,,,,
249317,75,"to die, be dead",ta22,,,,
249318,77,"to scratch",gwa31,,,,
249319,78,"to cut, hack",ba53,,,,
249421,79,stick/wood,fa13,tree,,,
249422,79,stick/wood,"tɕa31 fa13",stick,,,
249321,80,"to split",pha35,,,,
249322,87,"to swell",tɕoŋ55,,,,
249323,89,"to hold",tai44,,,,
249324,91,"to buy",mei31,,,,
249325,92,"to open, uncover",kha13,,,,
249326,94,"to throw",tɬe22,,,,
249327,95,"to fall",puŋ13,,,,
249328,96,dog,tɬa44,,,,
249329,97,bird,nu22,,,,
249330,98,egg,kja35,,,,
249331,101,"to fly",ʑiŋ35,,,,
249332,102,rat,naŋ31,,,,
249333,103,meat/flesh,ge313,,,,
249334,105,tail,"la44 tje44",,,,
249335,106,snake,gaŋ13,,,,
249336,107,"worm (earthworm)","gaŋ13 ʑuŋ13",,,,
249337,108,louse,bjo44,,,,
249338,109,mosquito,bjuŋ44,,,,
249339,110,spider,"ʑa31 sai13",,,,
249340,111,fish,bja31,,,,
249341,114,leaf,"dljuŋ313 dljuŋ313",,,,
249342,115,root,"tɕhuŋ313 tɕhuŋ313",,,,
249343,116,flower,fa13,,,,
249344,117,fruit,pi44,,,,
