id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
980,"Tangga (Feni)","Wing Wima",hrw,anir1237,"Non-personal nouns that refer to objects have a prefix of an-/am-/ang- to denote singular. The plurals will have fan-/fam-/fang-, e.g., angkeltot = a star; fangkeltot = many stars; anman = a bird; fanman = many birdsPossession in person (family) relationships employs suffixes: -ng for the first person (speaker), -am for the second person (listener), -ia/oue third person (subject) singular,-ri third person plural. E.g.: sikuang = my child; sikuam = your child; sikoue = his/her child; sikou = child; tamri = their father; tamam = your father; tamoue = his/her father; tabung = my father(tidung = my mother); paklum = your head; paklung = my head; pakloue = his/her head.",,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic","Wing Wima","Simon Greenhill","@misc{Wima-980-2013,  author = \"Wing Wima\",  date = \"2013\",  howpublished = \"personal communication\"}"
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
251537,1,hand,lima,,,1,
251538,2,left,kais,,,15,
251539,3,right,mil,,,,
251540,4,leg/foot,kekou,,,,
251541,5,"to walk",fes,,,8,
251542,6,road/path,sal,,,1,
251543,7,"to come",kasa,,,,
251544,8,"to turn",didiu,,,,
251545,9,"to swim",kakes,,,9,
251546,10,dirty,edu,,,68,
251547,11,dust,ambaufi,,,,
251548,12,skin,ampunu,,,,
251549,13,back,ampoktou,,,,
251550,14,belly,bala,,,18,
251551,15,bone,antou,,,,
251552,16,intestines,karbalu,,,,
251553,17,liver,ampel,,,,
251554,18,breast,ansus,,,1,
251555,19,shoulder,kafliu,,,,
251556,20,"to know, be knowledgeable",parfat,,,119,
251557,21,"to think",sangsang,,,,
251558,22,"to fear",soke,,,66,
251559,23,blood,dadak,,,1,
251560,24,head,paklu,,,,
251561,25,neck,angkongkongou,,,,
251562,26,hair,ololou,,,40,
251563,27,nose,parnasu,,,"1,96",
251564,28,"to breathe",mange,,,47,
251565,29,"to sniff, smell",nul,,,,
251566,30,mouth,ngusu,,,2,
251567,31,tooth,ngisngisa,,,24,
251568,32,tongue,angkermou,,,"7, 14",
251569,33,"to laugh",rur,,,,
251570,34,"to cry",teng,,,1,
251571,35,"to vomit",koek,,,38,
251572,36,"to spit",kanus,,,"14, 84",
251573,37,"to eat",en,,,1,
251574,38,"to chew",ngenges,a.,,12,
251575,39,"to cook",tutun,,,9,
251576,40,"to drink",inmi,,,1,
251577,41,"to bite",kita,,,,
251578,42,"to suck",doro,,,,
251579,43,ear,balbalu,,,50,
251580,44,"to hear",ong,,,1,
251581,45,eye,mata,,,1,
251582,46,"to see",par,,,121,
251583,47,"to yawn",ngaufi,,,"19, 27",
251584,48,"to sleep",masun,,,1,
251585,49,"to lie down",ngo,,,,
251586,50,"to dream",numbil,,,69,
251587,51,"to sit",kis,,,20,
251588,52,"to stand",ti,,,2,
251589,53,"person/human being",kaltu,,,,
251590,54,man/male,tamat,,,12,
251591,55,woman/female,fefin,,,"1,106",
251592,56,child,sikou,,,92,
251593,57,husband,matuk,,,,
251594,58,wife,wok,,,98,
251595,59,mother,tinou,,,1,
251596,60,father,tamou,,,1,
251597,61,house,fel,,,14,
251598,62,thatch/roof,"felun atof",,,1,
251599,63,name,asou,,,"1,18",
251600,64,"to say",war,,,30,
251601,65,rope,finau,,,39,
251602,66,"to tie up, fasten",kavi,,,,
251603,67,"to sew",soko,,,56,
251604,68,needle,anil,Loan?,L,,
251605,69,"to hunt",fesimpul,,,,
251606,70,"to shoot",wana,,,,
251607,71,"to stab, pierce",taba,,,47,
251608,72,"to hit",paket,,,,
251609,73,"to steal",kinau,,,21,
251610,74,"to kill",fismet,,,"2, 96",
251611,75,"to die, be dead",met,,,1,
251612,76,"to live, be alive",awawat,,,,
251613,77,"to scratch",kasau,,,,
251614,78,"to cut, hack",poko,,,56,
251615,79,stick/wood,kalut,,,,
251616,80,"to split",paki,,,88,
251617,81,sharp,faen,,,,
251618,82,"dull, blunt",butuk,,,1,
251619,83,"to work",faim,,,45,
251620,84,"to plant",soso,,,28,
251621,85,"to choose",kepfa,,,,
251622,86,"to grow",epol,,,18,
251623,87,"to swell",ing,,,56,
251624,88,"to squeeze",pulnga,,,,
251625,89,"to hold",puse,,,,
251626,90,"to dig",kekef,,,82,
251627,91,"to buy",fifil,,,1,
251628,92,"to open, uncover",ipki,,,1,
251629,93,"to pound, beat",tutu,,,20,
251630,94,"to throw",basini,,,,
251631,95,"to fall",lut,,,63,
251632,96,dog,pul,,,36,
251633,97,bird,man,,,1,
251634,98,egg,katlou,,,1,
251635,99,feather,panman,,,,
251636,100,wing,papou,,,7,
251637,101,"to fly",of,,,1,
251638,102,rat,kut,,,"3,63",
251639,103,meat/flesh,gemgem,,,,
251640,104,fat/grease,giris,,L,,
251641,105,tail,angku,,,,
251642,106,snake,si,,,17,
251643,107,"worm (earthworm)",kulil,,,39,
251644,108,louse,anut,b.,,1,
251645,109,mosquito,mumus,,,97,
251646,110,spider,pupuk,,,,
251647,111,fish,kok,,,,
251648,112,rotten,mapu,,,1,
251649,113,branch,telenau,,,,
251650,114,leaf,panau,,,12,
251651,115,root,anavwinau,,,,
251652,116,flower,purpur,,L?,13,
251653,117,fruit,amfiranau,,,30,
251654,118,grass,garas,,,,
251655,119,earth/soil,nal,,,,
251656,120,stone,fat,,,1,
251657,121,sand,angkin,,,,
251658,122,water,dan,,,"1,61",
251659,123,"to flow",ring,,,,
251660,124,sea,kasap,,,,
251661,124,sea,semek,,,,
251662,125,salt,semek,,,,
251663,126,lake,"sun dan",,,,
251664,127,woods/forest,balanmok,,,,
251665,128,sky,balambat,,,39,
251666,129,moon,funil,,,,
251667,130,star,keltot,,,31,
251668,131,cloud,pambalbal,,,,
251669,132,fog,ambau,,,,
251670,133,rain,bat,,,8,
251671,134,thunder,pararak,,,15,
251672,135,lightning,ampil,,,26,
251673,136,wind,kif,,,,
251674,137,"to blow",kif,a.,,72,
251675,137,"to blow",kefif,b.,,72,
251676,138,warm,tuntun,,,,
251677,139,cold,mair,,,1,
251678,140,dry,mas,,,11,
251679,141,wet,bis,,,16,
251680,142,heavy,mafet,,,46,
251681,143,fire,if,,,1,
251682,144,"to burn",taif,,,,
251683,145,smoke,ampuat,,,,
251684,146,ash,pif,,,,
251685,147,black,mikit,,,1,
251686,148,white,murmur,,,,
251687,149,red,bulum,,,,
251688,150,yellow,pilpil,,,,
251689,151,green,makrau,,,"13, 81",
251690,152,small,balik,,,,
251691,153,big,bakir,,,,
251692,154,short,pospos,,,9,
251693,155,long,tapak,,,,
251694,157,thick,punut,,,,
251695,159,wide,palpaluk,,,,
251696,160,"painful, sick",kerker,,,,
251697,161,"shy, ashamed",meiai,,,,
251698,162,old,matuk,,,1,
251699,163,new,fu,,,1,
251700,164,good,kausi,,,,
251701,165,"bad, evil",sak,,,1,
251702,166,"correct, true",tikin,,,,
251703,167,night,panambing,,,1,
251704,168,day,siat,,,,
251705,169,year,matamfaim,,,,
251706,170,when?,nangis,,,"1,43",
251707,171,"to hide",finufu,,,1,
251708,172,"to climb",kanek,,,,
251709,173,at,lo,,,38,
251710,174,"in, inside",lobala,,,"1,62",
251711,175,above,iat,,,1,
251712,176,below,ifaf,,,1,
251713,177,this,ige,,,,
251714,178,that,ilei,,,,
251715,179,near,naisa,,,,
251716,180,far,tapak,,,19,
251717,181,where?,ia,,,37,
251718,182,I,iau,,,"1,21",
251719,183,thou,o,,,1,
251720,184,he/she,i,,,1,
251721,185,we,kerer,,,,
251722,185,we,kemem,,,,
251723,186,you,o,,,s,
251724,187,they,ri,,,25,
251725,188,what?,sa,,,1,
251726,189,who?,se,,,1,
251727,190,other,neng,,,,
251728,191,all,nano,,,,
251729,192,and,ma,,,2,
251730,193,if,safle,,,,
251731,194,how?,are,,,,
251732,195,"no, not",etam,,,,
251733,196,"to count",wes,,,10,
251734,197,One,tike,,,43,
251735,198,Two,u,,,1,
251736,199,Three,tul,,,1,
251737,200,Four,fet,,,"1,65",
251738,201,Five,lim,,,1,
251739,202,Six,on,,,1,
251740,203,Seven,fis,,,1,
251741,204,Eight,wal,,,3,
251742,205,Nine,siu,,,5,
251743,206,Ten,sangful,,,5,
251744,207,Twenty,uesangful,,,,
251745,208,Fifty,limesangful,,,"1, 2",
251746,209,"One Hundred","tike atis",,,4,
251747,210,"One Thousand","tike mar","= '100' ?",,x,
