id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
985,"Mentawai (Bosua)","Arifin, Syamsir, et al. 1992. Fonologi bahasa Mentawai. [Jakarta]: Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaa[n]",mwv,ment1249,,,"Austronesian, Malayo-Polynesian, Northwest Sumatra-Barrier Islands","Andrew Hsiu",,"@book{303217,  address    = {Jakarta},  pages      = {46},  publisher  = {Pusat Pembinaan dan Pengembangan Bahasa, Departemen Pendidikan dan Kebudayaan},  title      = {Fonologi Bahasa Mentawai},  year       = {1992},  bibtexkey  = {arifin-kasim-malano_fonologi-mentawai1992},  fn         = {papua\kasim_mentawai1992.pdf},  hhtype     = {phonology},  inlg       = {Indonesian [ind]},  macro_area = {Papua},  src        = {bahasa, hh},  srctrickle = {bahasa#atmajaya1106, hh#phon:Kasim:Mentawai},  author     = {Kasim, Yuslina and Arifin, Syamsir and Malano,}}"
latitude,longitude
-1.41090000000000000000,98.94010000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
251752,1,hand,kabey,,,42,
251764,2,left,katciu,,,84,
251776,3,right,sikattoeʔ,,,80,
251788,5,"to walk",muʷenuŋ,,,,
251797,11,dust,ʔabu,,,1,
251809,12,skin,kulit,,,1,
251821,13,back,teytey,,,,
251833,14,belly,baga,,,,
251845,15,bone,tolat,,,,
251857,18,breast,tottot,,,,
251869,19,shoulder,boku,,,,
251881,23,blood,logaw,,,,
251893,24,head,ʔuteʔ,,,,
251905,25,neck,lolokat,,,,
251917,26,hair,ʔalay,,,,
251929,27,nose,ʔasak,,,,
251941,28,"to breathe",murimanuʷa,,,,
251953,29,"to sniff, smell",sigguʔ,,,,
251965,30,mouth,ŋuŋu,,,,
251977,31,tooth,soːt,,,,
251989,32,tongue,jalay,,,4,
252001,33,"to laugh",mugaʔgaʔ,,,,
252013,34,"to cry",musow,,,,
252025,35,"to vomit",gelek,,,,
252037,37,"to eat",mukom,,,,
252049,40,"to drink",muloʔ,,,,
252061,41,"to bite",sont,,,82,
252073,43,ear,taliŋa,,,,
252085,45,eye,mata,,,,
252097,48,"to sleep",merep,,,,
252109,51,"to sit",tukkuʔ,,,,
252121,54,man/male,simanteu,,,,
252133,55,woman/female,sinanalep,,,,
252145,57,husband,simantew,,,,
252157,58,wife,koy,,,,
252169,59,mother,ʔina,,,,
252181,61,house,lalep,,,,
252193,62,thatch/roof,tobat,,,,
252205,75,"to die, be dead",matey,,,,
252217,80,"to split",silaʔ,,,,
252229,81,sharp,marawru,,,,
252241,82,"dull, blunt",makummuʔ,,,,
252253,91,"to buy",kaw,,,,
252265,92,"to open, uncover",bukaʔ,,,1,
252277,96,dog,jouʔjouʔ,,,,
252289,97,bird,ʔumaʔ,,,,
252301,98,egg,ʔattelu,,,,
252313,99,feather,bulu,,,,
252325,103,meat/flesh,ʔakkulaʔ,,,,
252337,106,snake,leytiʔ,,,,
252349,108,louse,goset,,,,
252361,111,fish,ʔiba,,,,
252370,119,earth/soil,polak,,,,
252379,120,stone,bukkuʔ,,,,
252388,121,sand,ŋaiʔ,,,,
252397,122,water,ʔoynan,,,,
252409,124,sea,koʷat,,,,
252418,129,moon,laggoʔ,,,,
252430,139,cold,maleppet,,,,
252442,140,dry,magaraʔ,,,,
252454,141,wet,masuʷah,,,,
252466,142,heavy,ma'oruʔ,,,,
252475,143,fire,ʔapi,,,,
252484,145,smoke,kujug,,,91,
252496,147,black,mapusuʔ,,,,
252508,148,white,mabulaw,,,,
252520,149,red,mabogat,,,,
252532,152,small,magoysoʔ,,,,
252544,153,big,ʔabeu,,,,
252556,154,short,mateteʔ,,,,
252568,155,long,ma'ata,,,,
252580,156,thin,manippi,,,,
252592,157,thick,makeppu,,,,
252604,160,"painful, sick",mabesiʔ,,,,
252616,162,old,magaraʔ,,,,
252628,163,new,mabaw,,,,
252640,164,good,ma'eruʔ,,,,
252649,167,night,soyboʔ,,,,
252658,168,day,"matat sulu",b,,,
252670,179,near,mareggre,,,,
252682,180,far,marewot,,,,
252694,182,I,ʔaku,,,,
252706,183,thou,ʔekew,,,,
252718,184,he/she,siya,,,,
252730,185,we,kay,,,,
252742,185,we,sita,b,,,
252754,187,they,siya,,,,
252766,196,"to count",ʔadde,,,,
252778,197,One,sara,,,"1,86",
252790,198,Two,ruʷa,,,,
252802,203,Seven,pitu,,,,
252814,206,Ten,pulu,,,,
252826,207,Twenty,"ruʷa pulu",,,,
