id,language,author,silcode,glottocode,notes,problems,classification,typedby,checkedby,source
999,"Uma (Kantewu dialect)","Martens, Michael",ppk,umaa1242,"This is Kantewu (Central) dialect Uma. Other Uma dialects are Southern, Toleeʔ, Tobaku, and Winatu-Toriʔuntu.","I will use ʔ for glottal stop; β for bilabial fricative; č for alveo-palatal affricate (always prenasalized); j for voiced alveo-palatal affricate (i.e., like English j); ŋ for velar nasal; ñ for alveo-palatal nasal.","Austronesian, Malayo-Polynesian, Celebic, Kaili-Pamona, Southern","Michael P. Martens",,"@misc{Martens-999-2014,  author = \"Michael Martens\",  date = \"2014\",  howpublished = \"personal communication\"}"
latitude,longitude
-1.70420000000000000000,119.96800000000000000000
id,word_id,word,item,annotation,loan,cognacy,pmpcognacy
254425,1,hand,pale,,,,
254426,2,left,kiʔii,,,"1,42",
254427,3,right,kaʔana,,,"1,73",
254428,4,leg/foot,βitiʔ,,,5,
254429,5,"to walk",makoʔ,,,,
254430,6,road/path,ohea,,,,
254431,7,"to come",rata,,,,
254639,8,"to turn",βeo,,,,
254640,8,"to turn",βaleo,,,,
254433,9,"to swim",mo-naŋu,"mo- prefix",,,
254434,10,dirty,baboʔ,,,,
254435,11,dust,aβu,"same as #146 'ash'",,,
254436,12,skin,kuluma,,,,
254651,13,back,toŋoʔ,generic,,,
254652,13,back,kelo,"lower back",,,
254438,14,belly,taʔi,,,,
254439,15,bone,βuku,,,,
254440,16,intestines,"taʔi liko","lit., 'coiled stomach'",,,
254441,17,liver,ate,,,,
254442,18,breast,tiiʔ,"in Toleeʔ & Tobaku dialects: suhu",,,
254443,19,shoulder,βiŋa,,,,
254444,20,"to know, be knowledgeable",inča,,,,
254445,21,"to think",pekiri,"borrowing from Malay",,,
254446,22,"to fear",me-ʔekaʔ,"me- prefix",,,
254447,23,blood,raaʔ,,,,
254448,24,head,βooʔ,,,,
254449,25,neck,βurokoʔ,,,,
254450,26,hair,"βulu βooʔ","'hair of head'",,,
254451,27,nose,oŋe,,,,
254452,28,"to breathe",mo-ʔinohaʔ,"mo-  prefix; perhaps the root contains a frozen  -in- infix",,,
254453,29,"to sniff, smell",eŋaʔ,,,,
254664,30,mouth,ŋaŋa,"interior of mouth",,,
254665,30,mouth,βiβi,"outer, specifically the lips",,,
254455,31,tooth,ŋihiʔ,,,,
254456,32,tongue,jilaʔ,,,,
254457,33,"to laugh",taβa,,,,
254458,34,"to cry",geoʔ,,,,
254459,35,"to vomit",te-luaʔ,"te- prefix",,,
254460,36,"to spit",me-tiliku,"me- prefix",,,
254461,37,"to eat",ŋ-koniʔ,"ŋ- prefix",,,
254689,38,"to chew",kajaʔ,"to chew food",,,
254690,38,"to chew",kaŋiaʔ,"to make chewing motions",,,
254463,39,"to cook",mpoka-tahaʔ,"'cause to be cooked/ripe'",,,
254464,40,"to drink",ŋ-inu,"ŋ- prefix",,,
254465,41,"to bite",benčiʔ,,,,
254647,42,"to suck",sihiʔ,,,,
254648,42,"to suck",jomeʔ,,,,
254467,43,ear,tiliŋa,,,,
254468,44,"to hear",epe,,,,
254469,45,eye,mata,,,,
254470,46,"to see",hilo,,,,
254471,47,"to yawn",moñaʔ,,,,
254472,48,"to sleep",letaʔ,,,,
254473,49,"to lie down",turu,,,,
254474,50,"to dream",mo-ʔompoʔ,"mo- prefix",,,
254475,51,"to sit",mo-hura,"mo- prefix",,,
254476,52,"to stand",mo-kore,"mo - prefix",,,
254477,53,"person/human being",tauna,"root is tau; 3rd sg possessive -na is almost always used with it",,,
254478,54,man/male,tomane,"to- means 'person'",,,
254479,55,woman/female,tobine,"to- means 'person'",,"1,41",
254480,56,child,anaʔ,,,,
254481,57,husband,tomane,"same as 'man' but a possessive pronoun is used if it means husband",,,
254482,58,wife,tobine,"same as 'woman' but a possessive is used if it means wife",,,
254483,59,mother,tina,,,,
254484,60,father,tuama,,,,
254485,61,house,tomi,,,,
254486,62,thatch/roof,ataʔ,,,,
254487,63,name,haŋaʔ,,,,
254488,64,"to say",uliʔ,,,,
254489,65,rope,koloro,,,,
254490,66,"to tie up, fasten",mpo-hooʔ,"mpo- prefix. Note: there are MANY terms for tying; this is the most common response and is somewhat generic.",,,
254491,67,"to sew",mo-dau,"mo- prefix",,,
254492,68,needle,jaru,"probably a borrowing from Malay",,,
254493,69,"to hunt",mo-ʔahu,"mo- prefix on archaic term for 'dog'",,,
254494,70,"to shoot",-,"bow and arrow not used; but the term panaʔ is used of hurling something (rock, stick), and the term saku is used of hurling a spear",,,
254635,71,"to stab, pierce",jalo,"stab with knife, spear",,,
254636,71,"to stab, pierce",tohuʔ,"stab with pointy object like awl, needle",,,
254496,72,"to hit",paoʔ,"There are several terms for hitting; this is the most common.",,,
254497,73,"to steal",ma-nako,"ma- prefix",,,
254498,74,"to kill",patehi,,,,
254499,75,"to die, be dead",mate,,,,
254500,76,"to live, be alive",tuβuʔ,"same as 86 'to grow'",,,
254501,77,"to scratch",kao,,,,
254502,78,"to cut, hack",puaʔ,,,,
254503,79,stick/wood,kaju,"No term for 'stick'; kaju = wood/tree; raʔa = branch",,,
254645,80,"to split",bikaʔ,"split something lengthwise",,,
254646,80,"to split",beho,"split wood for firewood",,,
254662,81,sharp,bakaʔ,"sharp edge",,,
254663,81,sharp,taja,"pointy tip",,,
254506,82,"dull, blunt",mo-kuluʔ,"mo- prefix",,,
254660,83,"to work",mo-bago,generic,,,
254661,83,"to work",mo-liaʔ,"agricultural work",,,
254653,84,"to plant",huʔa,"to plant a seed or seedling",,,
254654,84,"to plant",tujaʔ,"to plant seeds using a dibble stick",,,
254509,85,"to choose",pelihi,,,,
254510,86,"to grow",tuβuʔ,"same as 76 'to live'",,,
254511,87,"to swell",mo-βoto,"mo- prefix; βoto 'body'",,,
254512,88,"to squeeze",peaʔ,,,,
254513,89,"to hold",kamu,,,,
254658,90,"to dig",kae,"dig with hands",,,
254659,90,"to dig",keke,"dig with tool",,,
254515,91,"to buy",oli,,,,
254655,92,"to open, uncover",huŋkaʔ,"open a lid",,,
254656,92,"to open, uncover",huŋke,"remove a soft cover (cloth, leaf)",,,
254657,92,"to open, uncover",bea,"open a door",,,
254517,93,"to pound, beat",mo-mañu,"mo- prefix. Protoform < *bayu",,,
254681,94,"to throw",teneʔ,"throw underhand (more generic)",,,
254682,94,"to throw",libaʔ,"throw overhand",,,
254519,95,"to fall",mo-naβuʔ,"mo- prefix",,,
254520,96,dog,dikeʔ,"Obsolete form (ahu) still used as verb to hunt; cf. 69.",,,
254521,97,bird,danči,,,,
254522,98,egg,ntolu,,,,
254523,99,feather,βulu,"same term for furr, hair",,,
254524,100,wing,paniʔ,,,,
254676,101,"to fly",ngkali-moko,,,,
254677,101,"to fly",meli-moko,,,,
254526,102,rat,βulehuʔ,,,,
254696,103,meat/flesh,bauʔ,"meat/fish (as food)",,,
254697,103,meat/flesh,ihi,"flesh as body part",,,
254683,104,fat/grease,boko,"layer of fat under skin (especially of pigs)",,,
254684,104,fat/grease,tabaʔ,"fat around inner organs",,,
254529,105,tail,iku,,,,
254530,106,snake,ule,,,,
254531,107,"worm (earthworm)",kilinoro,,,,
254532,108,louse,kutu,,,,
254533,109,mosquito,koromuʔ,,,,
254534,110,spider,bukaoʔ,,,,
254670,111,fish,bauʔ,"meat in general but often used for fish",,,
254671,111,fish,uru,"specific of fish",,,
254536,112,rotten,pope,,,,
254537,113,branch,raʔa,,,,
254538,114,leaf,rau,,,,
254539,115,root,raliʔ,,,,
254540,116,flower,βuŋa,,,,
254541,117,fruit,βuaʔ,,,,
254542,118,grass,koβoʔ,,,,
254543,119,earth/soil,tanaʔ,,,,
254544,120,stone,βatu,,,,
254545,121,sand,βoʔone,,,,
254546,122,water,ue,,,,
254547,123,"to flow",mo-ʔili,"mo- prefix",,,
254548,124,sea,tahiʔ,,,,
254549,125,salt,poiʔ,,,,
254550,126,lake,rano,,,1,
254691,127,woods/forest,βanaʔ,"virgin forest",,,
254692,127,woods/forest,ponulu,"forest near village",,,
254693,127,woods/forest,oma,"former garden regrown into forest",,,
254552,128,sky,laŋiʔ,,,,
254553,129,moon,βula,,,1,
254554,130,star,betueʔ,,,,
254555,131,cloud,limuʔ,,,,
254668,132,fog,"limuʔ ŋkuku","low cloud",,,
254669,132,fog,gaβu,"fog or haze",,,
254557,133,rain,uda,,,,
254558,134,thunder,kuna,,,,
254559,135,lightning,kilaʔ,,,,
254560,136,wind,ŋoluʔ,,,,
254694,137,"to blow",βui,"blow (of wind)",,,
254695,137,"to blow",tuβuiʔ,"blow (with the mouth) on a fire",,,
254562,138,warm,mo-raniʔ,"mo- prefix",,,
254563,139,cold,mo-leŋiʔ,"mo- prefix",,,
254564,140,dry,baŋi,,,,
254565,141,wet,mo-siiʔ,"mo- prefix",,,
254566,142,heavy,mo-tomo,"mo- prefix",,,
254567,143,fire,apu,,,,
254674,144,"to burn",tunu,burn/roast,,,
254675,144,"to burn",suβe,"burn off a field",,,
254569,145,smoke,raŋahu,,,,
254570,146,ash,aβu,"same as #11 'dust'",,,
254571,147,black,mo-ʔeta,"mo- prefix",,,
254572,148,white,bula,,,,
254573,149,red,mo-lei,"mo- prefix",,,
254574,150,yellow,mo-kuni,"mo- prefix",,,
254575,151,green,mo-leβue,"mo- prefix",,,
254576,152,small,kediʔ,,,,
254577,153,big,bohe,,,,
254649,154,short,diŋkiʔ,(a.),,,
