Language,hand,left,right,leg/foot,to walk,road/path,to come,to turn,to swim,dirty,dust,skin,back,belly,bone,intestines,liver,breast,shoulder,"to know, be knowledgeable",to think,to fear,blood,head,neck,hair,nose,to breathe,"to sniff, smell",mouth,tooth,tongue,to laugh,to cry,to vomit,to spit,to eat,to chew,to cook,to drink,to bite,to suck,ear,to hear,eye,to see,to yawn,to sleep,to lie down,to dream,to sit,to stand,person/human being,man/male,woman/female,child,husband,wife,mother,father,house,thatch/roof,name,to say,rope,"to tie up, fasten",to sew,needle,to hunt,to shoot,"to stab, pierce",to hit,to steal,to kill,"to die, be dead","to live, be alive",to scratch,"to cut, hack",stick/wood,to split,sharp,"dull, blunt",to work,to plant,to choose,to grow,to swell,to squeeze,to hold,to dig,to buy,"to open, uncover","to pound, beat",to throw,to fall,dog,bird,egg,feather,wing,to fly,rat,meat/flesh,fat/grease,tail,snake,worm (earthworm),louse,mosquito,spider,fish,rotten,branch,leaf,root,flower,fruit,grass,earth/soil,stone,sand,water,to flow,sea,salt,lake,woods/forest,sky,moon,star,cloud,fog,rain,thunder,lightning,wind,to blow,warm,cold,dry,wet,heavy,fire,to burn,smoke,ash,black,white,red,yellow,green,small,big,short,long,thin,thick,narrow,wide,"painful, sick","shy, ashamed",old,new,good,"bad, evil","correct, true",night,day,year,when?,to hide,to climb,at,"in, inside",above,below,this,that,near,far,where?,I,thou,he/she,we,you,they,what?,who?,other,all,and,if,how?,"no, not",to count,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Twenty,Fifty,One Hundred,One Thousand
Proto-Oceanic (Blust),*lima,*ma-wiʀi,*wanan,*waqe,*lako,*jalan,*mai,*liu,*kakaʀu,*maqitom,*qapuk,*kulit,*muri,*tian,*suʀi,*tinaqi,*qate,*susu,*[qa]paʀa,*taqu,*rodrom,*ma-takut,*draʀaq,*qulu,*ʀuqa,*raun ni qulu,*isuŋ,*maɲawa,*ajok,*papaq,*nipon,*maya,*malip,*taŋis,*luaq,*qanusi,*kani,*mamaq,*tunu,*inum,*kaʀat,*sosop,*taliŋa,*roŋoʀ,*mata,*kita,*mawap,*tiruʀ,*qenop,*mipi,*nopo,*tuqur,*tau,*mwaʀuqane,*pine,*natu,*qasawa,*qasawa,*tina,*tama,*ʀumwaq,*qatop,*ŋajan,*kunu,*tali,*buku[ti],*saqit,*saʀum,,*p(w)anaq,*soka,*punuq,*panako,*punuq,*mate,*maqurip,*karu(t),*taʀaq,*kayu,*p(w)olaq,*ma-tasim,*purul,*quma,*tanum,*piliq,*tubuq,*paʀoq,*poʀos,*kokom,*kali,*poli,*pukes,*tutuk,,"*(s,j)u(a,u)",,*manuk,*qatoluʀ,*pulu,*panij,*ʀopok,*lapo,*pisiko,*moɲak,*siku,*mwata,*mwata-mwata,*kutu,*ɲamuk,*lawaq,*ikan,*mapu,*raqan,*raun,*wakaʀ,*puŋa,*puaq,"*pali(s,j)i",*tanoq,*patu,*qone,"*[dr,r]anum",*qaliʀ,*tasik,*tasik,*rano,*qutan,*laŋit,*pulan,*pituqun,*taqe ni laŋit,*kaput,*qusan,*kuru[ru],"*qu(s,j)ila(q)",*aŋin,*upi,*ma-panas,*ma-dri(d)riŋ,*ma-ʀaŋo,*buluk,*mapat,*api,*tunu,*qasu,*qapu,*ma-qeto(m),*maputiq,*meʀaq,*yaŋo,*keja,"*riki(t,q)",*lapuat,*tuku,*b(w)arapu,*manipis,*ma-tolu,*kopit,,*masakit,*mayaq,*matuqa,*paqoʀu,*ma-pia,*saqat,*bonor,*boŋi,*qaco,*taqun,*(q)ana-ŋican,*puni,*panek,*i,*i lalo-ɲa,*atas,*i papaq,*ni,*na,*raŋi,*sauq,*pea,*[i]au,*[i]ko[e],*ia,*kita,*kamiu,*[k]ira,*sapa,*sai,*liqan,,*ka,*ka,*ku(y)a,,,*sa-kai,*rua,*tolu,*pat,*lima,*onom,*pitu,*walu,*siwa,*sa-[ŋa]-puluq,*rua-ŋa-puluq,*lima-ŋa-puluq,*ʀatu(s),
Proto-Oceanic (Pawley),*lima,*mauʀi,,*waqe,*pano,*jalan,*lako mai,,*kaʀu,,*qapuk,*kulit,*takuʀu,*tian,*suʀi,,*qate,*susu,*qapaʀa,*kila-,*ronrom,*matakut,*draʀaq,*qulu,*ʀuqa,*raun,*ijuŋ,*maɲawa,*ɲami-,*ŋujuŋ,*nipon,*maya,*malip,,*mumuta,*qanu-si,*kani,*mamaq,*tunu,*inum,*kaʀati-,*miji,*taliŋa,*roŋoʀ,*mata,*kita,mawap,*maturu,*qeno,*nipi,*nopo,*taqur,*taumata,*taumwaqane,*papine,*natu,,,*tina-ɲa,*tama-ɲa,*ʀumwa,*qatop,*qajan,*posa,*tali,*paqu-t͡ʃi,*saqit,*saʀum,,*pana,*soka,*tuki,*panako,*punuq,,*maqurip,*kadru(t͡ʃ),,*kayu,*pasi,*tajim,,*quma,*tanom,*piliq,*tubuq,*puke,,*taŋovi-,*kali,*poli,,*tuki,,,,*manuk,*katoluʀ,*pulu,*kapak,*laŋo,*kasupe,*pisako,*momoɲa,*siku,*mwata,*baya,*kutu,*ɲamuk,*lawaq,*ikan,"*ba(l,r)a",*maŋa,*rau,*wakaʀ,*puŋa,*puaq,*paliji,*qumun,*patu,*qone,*waiʀ,*tape,*masawa,*waiʀ tasik,*rano,*wao,*laŋit,*pulan,*pituqon,*taqe ni laŋ,*kaput,*qusan,*kuruk,*qusilak,*mataŋi,*upu,*mapanas,,*masa,*suʀu,*mapat,*api,,*qasu,*drapu(ʀ),*maqeto,*purak,*meʀaq,*aŋo,,*rikiq,*lapapt,*papaq,"*ba(l,r)apu",*manipis,*matolu,*kopit,*lapa,*masakit,*mayaq,*matuqa,*paʀaqu,*ma-pia,*saqat,*bonor,*boŋi,*qaco,*taqun,*ŋa-ijan,*puni,*sake,,*(i)ralom,*atas,*papaq,*eni,,*tata,*sauq,*pea,*au,*iko,*ia,*kami,,*ira,*sapa,*sai,*liqa,*udolu,,,*kuya,*tika(i),,*sa,*rua,*tolu,*pati,*lima,,,,,,,,,
Madak (Lamasong Dial.),ɡuma,nəis,nasa,ɡeɡe,pəs,ŋas,undeu,sapuk,kaɡɪs,benan,kakup,raɡu,silom,baya,si,mbantine,ɡat,susu,kaɡayaŋ,atik,ndoɡondoɡoma,maraat,ndaa,,,kamanin,isi-,mamas,sima,ŋusa-,ŋisa,ŋɡama-,noŋon,tɪŋ,mura,imbis,an,,rɪn,in,ɡonom,roɡop,rintiŋa,roŋo,mara,vondo,məman,uŋa,,,kis,tu,rarina,randi,ɡaine,nat,ramasɪk,rumbu,na-,tama-,anu,siɡ anu,asa-,vara,vuɡʊs voɡus,voɡos,sɪk,,silin,tuyu,so,soŋɡo,isiɡim,səp,məre,roro,ɡaɡa,vit,una,vəŋɡəm,anən,vap mbut,ŋɡu,sia,,,sʊk,vilok,rəŋə,ɡʊt,,vəvəŋ,,tuyu,ɡoyo,ɡandu,viɡa,ɡatli,mbembe,vapa,pava,ɡisap,wet,monok,riɡariɡa,sisi,ŋɡoro,ɡap,ɡələvi,ɡəmbilʊŋ,mat,mau,ɡaɡan,ɡaman,kəkəs,vusuvusu,venti,mbini,vua,wat,ɡaŋkanɪŋ,ndan,,maɡat,ras,,karuriŋ,ɡalimbet,ŋɡolin,tian,ɡaŋ,mbolomboloɡaŋ,ɡumbu,,kəmes,mantavu,vu,tatalep,mamandut,məməs,mbimbilu,mumuat,vuɡɪn,arʊs,aturas,mbilaŋ kakup,mbumbuɡas,mapmavut,malamalɪs,laklaŋən,məɡaməɡa,ndokndok,puruk,ɡumburik,mbamban,ndokndok,puruk,nɡuŋɡumit,malavəŋ,ŋut,məŋan,maut,məɡət,vukat,vəsəɡə,tuntuna,məin,naɡaŋkiŋ,,naŋisa,,ɪŋ,,toŋ,vənə,kərəpo,na,ni,atara,pəpəŋɡa,ava,e,u,i,ndə,mbi,ndi,esa,sina,,pirʊs,,,arəŋ wa,pu,us,e ɡas,e u,e run,e wɪt,,,,,,,,,,
Madak,laɡŋak teren,lonɡen pianɡ (kia),lenɡen tino,laɡanɡ kadek,i yonon,laɡa,i pas ode,it kis tepukus,i susu,i bilinɡa,laɡa kup,la bantuku,lan tuno ren,lebeln,lisi,la ban tain ren,levere,lu rus,la kaka,l arei,,marat,la dada,lak,laɡa ka,lavat kambinim,lesna,i e mas,i e sumak,lonɡuso,lanɡ sanɡsa silok,laɡam,i e nonɡon,l tenɡ,im-to,,l anan,lt ɡas,io ve,l ninin,l yatat,i dokop,labalonɡ,lnɡ tonɡa,lakatli,l reven,i mao,l yonɡa,mi di kapo,i robo,it kis,i tu,laradi,latlok,latkin,lamdak,hat lok,hat kin,nenen,temen,luɡu,,lasen,l pase,lokon-noos,l seput lo kon nos,l somap,,i sisiliu,i so so,i sep amet,ip sep,im nem,i sep (lobo),i met,lobo roro,i kui,i wit,lokon-nuna,i waɡam,raise anan,,i ɡuɡu,it lo,,i su,i danɡ,lp lok la lamas,lm tebanɡ,i ke kankan,,i suanɡ,,i lu lu,,laɡadu (laman),liviɡa - lapka,li kiau,le bebe,la-rapa,liviɡa ip lava,kisap,ut-bo,la lavat panɡa vonɡponɡ,leɡet ket atla man,lisisi,kolon,laratkap,rat nɡit,lavat sasalao,lemat,luna i mau,laɡa kakan at luna,lovonanɡ at luna,leɡe una at luna,la busu-nana,,beo,laɡan kanen,lava ruat,laɡan kanen,loɡo dan,,laras,,,laɡa-irinɡ tubu,lakalibot,la ɡalinɡ,le leventi,ban kubu,lusuɡao,lara kabu - le bet,lava l tepat,lava l main,lam-man-man itmas,,neni l ip livi,neni l mudut,laban tomon i manɡ,laban tomon imlu,,laɡau,laɡau l ɡaɡa ɡau,paip,kakup,l bibi,l bubbun,l momo lo,l nɡa nɡan,mamaka,lobo kakalik,lobo silok,it mut (mut mut),ibalom,,,linin nɡa,tap las,labi teren,,luɡu i maut,loɡu maɡat,loɡu aukat,i lok ko mek,ik mok so,laɡan nimin,lakanɡ-kinɡ,lamaros,,,,,,,,loɡu na,hom loɡu,,no rakolom,,nenia,,neni,nema,nemi,nedi,la,neɡe,nedi (len taba),nema,,,,kopmen na sopo parase,lamdak i ekes,ɡesara,ɡepuna,wanton,wanret,walimo,lavana,,,vasik,sanɡaun,,,le ɡesa mar,le ɡepu mar
Bilur,akuna,ainor,a ot,a kikina,i vanan,a dip,va ɡo rit,i pupukuai,i a lin,idur,otobon,a palaono,a taruna,,a urina,o unau no balana,o buaina,o una,a kaba kuna,i nunuran,,i bukur vanatnat,na ɡap,euna,aruana,akatkat-neuna,oleuna,ilo vuvu,i nuɡ na ur maɡit,avana,nanɡiene,okaramepipi,i ar kobor,i tanɡi,,tarauset,i tamo,i mame,it papava a tio ma ran,iap,apap iarkakarat,a kalikit i uu,olinɡene,i loɡor,omatana,i nei,i muiap,i bor bor,,i irereap,i ke,i tuktur,tulunɡen,ame,avaina,a nuna kalkit,nuna me,nuna vaina,enano,kokono,a pal,,aiana,i urek,ololo,i kubu okukubu,i ɡit,,i papanak tur va many,i panak i mo vuvur,,i varum,,i amat a bor noi,i mat,a boroi ki do,i karunono,i poko a bo roi,ovai,i parak na vovai,o matan na pul,,ipa piat,i inɡ na kau kau,,na ur maɡit itur,imaladir,i karu o maranɡ,i tolo a kuma,iɡan,,i apanɡ a taman,,i mibira o vai,,apap,o manu,okiau,o pulina,a bebeana,o manu i mobo,a kue,na mit,,otapupuna,aoi,oɡaɡaulam,aut,onam,a kabilak,oi,ove i marut,a rakana,opakavai,ovakarai,o purpur,,o korkor,apiv,ovat,nana,namalum,,atai,sol,a kabalom,o lokor,a bakut,a ka laɡ,o kan kanmui,a bakut,omi,i to von,a pipi,a pala palai,wuwu,i wuwu,i unɡian,i kotokoto,na matetek na ma lu,na polo na malu,,aiap,aiap-iot,omi,,i mok morom,i pua,i tar,inɡiliau,i lan,a nat nabora,a ɡnir na boroi,a tuk,l ba ra barap,,,a nat na ɡa,i tamaba,a manua,,a maula na pal,a ka la ma na na pal,akonapal,kir,i rail api koina,i morom,i kiap,kilala,,,,,,,,a pal kiti,a pa ire vatatap,,,,iau,vu,toan,mia,mula,diavaurua,a,ii,la,larap,,,,kir runa ta balbali tu ia tiri ano,i luluk,aniɡ,uru,tulua,vauat,lima,nono,,,latia,naaulu,,,a mar,a rip
Solos,(mo) minouh,mina keruk,mina risiki,mo mouh,tatan non,barobaron,naomeh,biriton,nanahon,kute,kuahu,mo toauh,mu teɡen nuh,mo tot tuh,mu tinouh,mo tot tuh,,mu sus suh,mu rosoat uh,natenon,,napean e ratout non nakatua,mo natiuh,(mo) bakuh,(mo) nio te youh,(mu) un nuh (to baku),(mo) osuh,nuason,puinon,(mo) buruh,(mu) nihouh,(mo) mieuh,ɡaɡason,nɡanon,e nunuanon,mo reret tuh,henon,e koranon,hahuona,kaunon,hekoton,(napean) suson,(mo) tenɡin nuh,nonɡon non,(mo) touh,taranon,,sohon,kanaton,e sino sohon,ɡunɡon,tonon,nakatun,natinon,natahon,mu napeani nuh,mu natinon nuh,mu natahon nuh,(mu) tinen nuh,(mu) tamen nuh,numa,,mu son nuh,ketanon,stirinɡ,kit noni pusi,samapon,,hahara mune non,haneinon neireh,hesakon,henatunɡon,,natunɡor,maton,toe non,(tua) makananon,bopo nei (ɡu),nen doi,robakat nuh o roi,hen,,kuinon,,,,(tua) potekon,pot non i wen,namoton,nɡahon,,e panat nei bebene,,mit nei dako,pukuo,kus,namune,nat,keam,bapahu,noh,kiso,beno,mo bosokuh,his,,tirikopu,pehut,kuhenu,kupat,nayean,roi muna non,nen doi,un (o roi),ponoɡ (o roi),plaua,ua,hasini,kopu,rako,kotonan,kua,,tasi,,kopu kopu,duruh,nenɡit,natihao,bipit,wanean,makesk,na ruat,pina,kanah,seounɡ,seounɡ saku non,e hetunon,e koroan non,parak,bupus,,tonɡ,(tonɡ) nɡoton,ruh,kumahoan,kounɡ,ɡekeani,kunuk,nɡoa nɡoan pehao,buin,(ɡu) i ɡakei,(ɡu) pea,runduŋ,roron,,,tiɡakei,kapea,,,konohan,(numa) in binit,(numa) in daeh,roson,e youh raihon,bonɡ,nan,yia,haŋis,,,i,,i yas,i kopu,numai re,numai i toh,sikut,,,ena,eno,e,emen,emu  nenanu,erun nenanu,nasah,esi,,erun naobot,,,,meiyah,kason,meɡ,huanu,huapis,nina,taninɡ,neiyononɡ,hit,toan,nei sie,manot,,,natus,o nean mes or paraonh
Bola,lima,mauri,kane,vaha,bae,dala,valai,tada,huru,katoki,habulo,kuli,bito,tamudi,tuha,mahala,hate,ruru,vele,palala,loho,manɡenɡe,dara,ɡiɡi,loho,ivu,rupere,banɡo,ato,nɡava,nɡi,tabele,nonɡo,tanɡi,muta,kalupe,kani,nɡau,kuku,ninu,kara,hanu,talinɡa,lonɡo,mata,mata-i,maranɡavi,mahita,mavuli,vurena,made,pesi,bakovi,toɡa,nɡatavine,tu,ɡirihi,,kina,tama,ruma,barema,ra,ta,mota,rovi,rahi,,panɡo,padi,koto,ubi,panaho,rabalaki,mate,mahuri,kari,kiri,,popo,vere,tupo,leho,varo,,ribe,padi,bebe,nuɡu,keli,kona,pere,,voro,mapasi,liɡo,kadirovo,bila,ivu,karapa,bebe,kuruve,bobo,bokopotu,ku,mata,,kutu,namo,eɡe,manu,mavuru,paɡa,rau,kana,keke,vua,varili,malala,kedo,hire,naru,tua,dari,,dari lomu,robo,hunu,keva,hada,bubu,,vala,kururu,pelaka,vilu,kave,kara,piu,mara,mea,,kanono,nɡani,kanunɡa,havula,kato,kea,vururu,nɡanɡo,ɡomaɡoma,kiroko,daɡi,kapo,malaku,,,,bola,madihi,maruhu,,karaba,kamumu,hale,muholi,rodo,haro,pida,ɡarika,rahilolo,eɡe,na,lilo,meli,tano,iea,nɡa,tabukoi,basi,vai,iau,ioe,ia,hita,mua,ria,ra,rei,,,,pali,,ma,ɡi,taku,rua,tolu,va,lima,polo-tara,polo-rua,polo-tolu,polo-vaa,ravulu,,,,
Bulu,limana,maulina,kalapana,virichona,rarachurachu,dala,maimai,pulo,churuchuru,,milimili,kulina,botona,kavutuna,tuchane,tamoduia,chateburaburana,ruruna,lochona,save,,kuani,darana,varuna,lochona,ivuna,iruna,hua nɡinoro,riɡo,nɡauana,nɡinɡina,tabelena,nonɡononɡo,tanɡitanɡi,lualua,kalupe,chani,mamama,kuku,chinu,kani,ruru,talinɡana,lonɡolonɡoni,matana,vusivusi,nɡavalolo,makalukalu,makalu dua,,matatau,paisisi,sino,tamochane(ka),tavine(ka),tuna,matuchana,matuchana,tamarena,tamana,luma,kapi,riona,,,topi,rachi,,panɡo,pedenɡa,padi,vaubi na lima,panacho,ubi,mate,machulichuli,kari,poka,chai,tate,vere,,wokowoko,vano,,laba,vari,humu,nuɡunuɡu,kavu,,lobe,,tapu,puru,bute,manu,chatelu,lalavena,kavena,,kuruve,balimomo,vika,ikuna,mata,balichua,ɣutu,makinikini,kumuɡe,icha,ropo,lachana chai,lalauna chai,akalaka chai,,,ɡarasi,sitano,kedo,bike,nalu,,dari,dari,,koruna sibulu,chunu,keva,chadachada,bubu,,kadavu,mariaba upu,,wini,pori,roronɡo,kalolova,kere,bune,,charocho,rorocho,charo,kato,kavuvu,kea,vununu,nɡanɡo,kobokobo,koteka,koru,botoka,malaku,,,,,vidi,,huma ka rapurapuka,kalabaka,ɡora,bauka,rochotaka,bonɡi,charo,,,rusiche,,,,,,kanakoi,kanakai,,malaku,,au,echo,i,sitou,mulu,ria,ira,ene,,reteu,,,,banika,ɡi,takena,lua,tolu,va,leina,chono,,,rio,ranɡavulu,,,ranɡavulu ranɡavulu,vulunɡa
Meramera,lima,meli,ɡata,ubu,asau,vea,maino,,apa,mumuɡu,,uliʔuli,lama,tia,tuatua,,wate,madalo,bau,,,laʔe,daldala,lete,loʔo,ivu,tabu,sumi,wase,ase,livo,tabele,poli,taŋi,lua,piso,ʔani,mama,bole,ʔinu,aʔara,inu,tuli,loŋe,mata,ite,talamama,ŋolo,,tada,uɡu,maɡili,bibi,latamane,tavine,natu,sua,,tina,tama,ruma,bilas,isa,ade,mot,tavilie,sai,,musi,padi,,ubi,paʔaʔali,valpute,mate,,kasi,,,valpole,binaso,,voku,dana,,uʔusi,vonu,pule,laptole,elai,,pea,,,bosa,buse,manu,toltolu,ivu,,lovo,ɡei,maʔini,vi,iu,alʔusu,paepase,kutu,lalama,kukule,aiʔa,pasa,lala,laulau,aʔano,velevele,,ɡuluɡulu,maɡamaɡa,vatu,maɡamaɡa,nanu,,dasi,masi,,tibulu,laŋi,ɡame,mataʔidoʔido,usa,ausa,adavu,tupaulu,sima,vivili,,tivula,maʔiɡi,taɡasa,sisi,,wavi,lululu,muʔona,kavo,paulu,keakea,kasoso,iaŋaŋo,esaʔesa,malabain,buo,boto,laɡo,,,,,davutina,,mumuɡu,alaba,doa,mamao,,nalodo,malada,,aisa,,saʔe,,lilo,,luʔuva,,,,bulaɡo,iva,ia,oʔo,ei,amtou,amteu,sou,sava,sei,,,,,,,ɡi,taku,lua,tolu,iva,lima,pantasa,padilua,pantolu,ialasue,savulu-tasa,,,,
Waray-Waray,kamot,wala,tu-o,tiil,lakat (lumakat),dalan,kanhi (pakanhi),liko (lumiko),lanɡoy (lumanɡoy),huɡaw (mahuɡaw),tapo (tapo-tapo),panit,likod,tiyan,tul-an,tinae,atay,duɡhan,suɡbonɡ,kila (makilala),huna,hadlok,duɡo,ulo,lioɡ,buhok,ironɡ,hawa,baho (bumaho),baba,nɡipon,dila,tawa (tumawa),tanɡis (maɡtanɡis),suka,lura,kaon,sam (samsama),luto,inom,kaɡat (kaɡata),sup,talinɡa,dunɡoɡ (madunɡoɡ),mata,kita,hoy-ab,turoɡ (katuroɡ),hiɡda (humiɡda),inop,linɡkod,tindoɡ (tumindoɡ),tawo,lalake,babaye,anak,asawa,asawa,iroy,amay,balay,atop,nɡaran,yakan (yakana),pisi,taod,tahi,daɡom,kanop (manɡanop),pusil,buno,iɡo (iɡo-a),kawat (manɡawat),patay,matay (mamatay),buhi (mabuhi),karos (maɡkaros),ɡutinɡ,kahoy,tunɡa,tarom (matarom),karol (manɡarol),buhat,tanom (maɡtanom),pili,tubo (tumobo),hubaɡ (manhubaɡ),puɡaa,kapot,ukab,palit (mapalit),buklad,balbaɡ (balbaɡa),labay,huloɡ (mahuloɡ),ayam,tamsi,bunay,barahibo,pako,lupad (lumopad),yatot,unod,mantika,ikoɡ,halas,wati,tuma,namok,lawa,isda,dunot (madunot),sanɡa,dahon,ɡamot,bukad,prutas,saɡbot,tuna,bato,baras,tubiɡ,aɡas,daɡat,asin,lanaw,ɡuba,lanɡit,bulan,bitoon,dampoɡ,dampoɡ,uran,daloɡdoɡ,lenti,hanɡin,huyop (paɡhuyop),alindanɡa (maalindanɡa),tuɡnaw (matuɡnaw),mara (mamara),hulos (mahulos),buɡ-at (mabuɡ-at),kayo (kalayo),sunoɡ (masunoɡ),aso,abo,itom (maitom),busaɡ (mabusaɡ),pula,dulaw (madulaw),,ɡuti,dako,mubo (hamubo),laba (halaba),nipis (manipis),dakmol (madakmol),liɡot (haliɡot),lapad (halapad),sakit (masakit),awod,edar (edaran),baɡ-o (baɡ-uha),upay (maupay),raot (maraot),unɡod,ɡab-i,adlaw,tuiɡ,san-o,taɡo,saklanɡ,ha,ha,baw,ubos,ini,iton,rani,rayo,diin,ako,ikaw,hiya,kami,kamo,hira,ano,hin-o,iba,tanan (nɡatanan),uɡ,kon,paunan-o,diri,ihap,usa,duha,tulo,upat,lima,unom,pito,walu,siyam,pulo (napulo),pisita,piluka,ɡatos,yokot
